iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.00000000e+00,1.00000000e+00
1,7.10919775e-08,3.52498142e+07,3.62834169e-01,1.88493579e-24,9.54835378e-15,4.95833923e+14,5.06561222e+09,4.00929830e-17,2.18260587e-07,1.49017224e-10,5.44386002e+09,1.00000000e+00,1.00000000e+00
2,1.29097515e-09,6.69884876e+05,6.67233245e-03,1.98854257e-24,1.00284110e-14,5.18898350e+14,5.04309595e+09,7.97610693e-19,4.25733231e-09,2.96462707e-12,5.33760687e+09,1.00000000e+00,1.00000000e+00
3,1.12790331e-09,6.68114919e+05,6.06196202e-03,2.15476954e-24,1.08480925e-14,5.92351235e+14,5.03445604e+09,1.21172433e-18,5.31027028e-09,4.50396384e-12,4.38240791e+09,1.00000000e+00,1.00000000e+00
4,3.81269317e-10,2.13877793e+05,2.01556838e-03,2.40217656e-24,1.20831837e-14,5.60962510e+14,5.03009805e+09,3.66885067e-19,1.66888948e-09,1.36369576e-12,4.54880734e+09,1.00000000e+00,1.00000000e+00
5,9.80920133e-11,4.69998842e+04,4.96040573e-04,2.45149095e-24,1.23431902e-14,4.79140784e+14,5.03497277e+09,4.93796937e-20,2.91347834e-10,1.83535636e-13,5.90015475e+09,1.00000000e+00,1.00000000e+00
6,5.75144245e-11,2.88050042e+04,2.94344423e-04,2.51292119e-24,1.26922074e-14,5.00830957e+14,5.05077815e+09,3.51202937e-20,1.85333906e-10,1.30537183e-13,5.27711721e+09,1.00000000e+00,1.00000000e+00
7,2.33083519e-11,1.25909213e+04,1.21860318e-04,2.52193017e-24,1.27399710e-14,5.40189258e+14,5.05167478e+09,3.07761802e-20,1.14929321e-10,1.14392512e-13,3.73435952e+09,1.00000000e+00,1.00000000e+00
8,1.77378899e-11,9.67267192e+03,9.29918488e-05,2.51358008e-24,1.27016301e-14,5.45311306e+14,5.05320288e+09,2.00320739e-20,7.81379426e-11,7.44563696e-14,3.90064169e+09,1.00000000e+00,1.00000000e+00
9,8.36429385e-12,4.10748687e+03,4.25773760e-05,2.51229760e-24,1.26992654e-14,4.91073956e+14,5.05484121e+09,6.34621665e-21,2.80322478e-11,2.35882584e-14,4.41715897e+09,1.00000000e+00,1.00000000e+00
10,4.29377506e-12,2.05080886e+03,2.16948735e-05,2.52373897e-24,1.27600306e-14,4.77623731e+14,5.05600254e+09,9.68307917e-21,1.36520147e-11,3.59846536e-14,1.40988362e+09,1.00000000e+00,1.00000000e+00
11,2.24519605e-12,1.01247132e+03,1.11761189e-05,2.82474493e-24,1.28403626e-14,4.50950071e+14,4.54567151e+09,3.06072334e-19,6.78513115e-12,1.13738003e-12,2.21683909e+07,1.00000000e+00,1.00000000e+00
12,4.25559446e-12,2.49491338e+03,2.27992126e-05,2.68377752e-24,1.28599946e-14,5.86266714e+14,4.79175138e+09,7.40585104e-17,3.26981158e-11,2.75204772e-10,4.41517330e+05,1.00000000e+00,1.00000000e+00
13,9.20248317e-13,3.72949393e+02,4.46285676e-06,2.63272866e-24,1.28393324e-14,4.05270389e+14,4.87681566e+09,3.79938468e-17,2.16076038e-12,1.41186983e-10,5.68713241e+04,1.00000000e+00,1.00000000e+00
14,6.02405442e-13,2.21721175e+02,2.85854349e-06,1.54092249e-23,1.28290549e-14,3.68059714e+14,8.32556798e+08,2.62057337e-17,1.30173237e-12,9.73817917e-11,4.96735708e+04,1.00000000e+00,1.00000000e+00
15,4.16323951e-13,1.49301051e+02,1.96451695e-06,6.67112827e-21,1.28325409e-14,3.58617491e+14,1.92359379e+06,3.44840537e-15,9.37739261e-13,1.28144410e-08,2.71934173e+02,1.00000000e+00,1.00000000e+00
16,3.86908881e-13,1.46659584e+02,1.84790198e-06,2.26053238e-20,1.28444208e-14,3.79054581e+14,5.68203354e+05,1.79834015e-12,1.06595629e-12,6.68271901e-06,5.92744534e-01,1.00000000e+00,1.00000000e+00
17,5.33537558e-13,2.00781651e+02,2.54411860e-06,2.96391086e-22,1.28532719e-14,3.76321494e+14,4.33659193e+07,6.16888480e-12,1.63585717e-12,2.29238744e-05,2.65178752e-01,1.00000000e+00,1.00000000e+00
18,4.31868801e-13,1.54214684e+02,2.03601406e-06,3.17921809e-22,1.28611494e-14,3.57086882e+14,4.04538130e+07,7.78469781e-14,8.82929183e-13,2.89283138e-07,1.13418556e+01,1.00000000e+00,1.00000000e+00
19,3.74630742e-13,1.36148334e+02,1.77282655e-06,1.03943160e-21,1.28702895e-14,3.63420080e+14,1.23820457e+07,8.62696851e-14,7.49993973e-13,3.20582324e-07,8.69359812e+00,1.00000000e+00,1.00000000e+00
20,3.30120690e-13,1.26454137e+02,1.58038265e-06,1.25027313e-20,1.28850562e-14,3.83054261e+14,1.03057931e+06,2.90306560e-13,6.92969073e-13,1.07879322e-06,2.38702520e+00,1.00000000e+00,1.00000000e+00
21,3.18009273e-13,1.29951333e+02,1.54523157e-06,6.06365049e-21,1.29052929e-14,4.08640076e+14,2.12830421e+06,2.85911102e-12,9.56290764e-13,1.06245949e-05,3.34471364e-01,1.00000000e+00,1.00000000e+00
22,4.69691068e-13,1.94784730e+02,2.29026213e-06,3.50408346e-22,1.29070106e-14,4.14708185e+14,3.68341987e+07,1.52518482e-12,1.28102071e-12,5.66766059e-06,8.39911791e-01,1.00000000e+00,1.00000000e+00
23,3.18690862e-13,1.24967846e+02,1.53377912e-06,6.81332678e-22,1.29146743e-14,3.92128740e+14,1.89550196e+07,8.34340855e-14,7.29723940e-13,3.10045100e-07,8.74611300e+00,1.00000000e+00,1.00000000e+00
