iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.19991838e+11,1.00000000e+00
1,1.33044301e-08,6.64767041e+06,6.80449705e-02,5.63227873e-27,5.05618439e-15,4.99658413e+14,8.97715584e+11,1.76519873e-20,1.95798184e-08,6.55879408e-14,1.10921326e+12,1.19991838e+11,1.00000000e+00
2,1.16223638e-09,5.77956419e+05,5.93645355e-03,6.02003423e-27,5.35453751e-15,4.97279582e+14,8.89453001e+11,1.61820690e-21,1.72288205e-09,6.01242723e-15,1.06468589e+12,1.19991838e+11,1.00000000e+00
3,3.49211528e-10,1.69704804e+05,1.77261167e-03,6.77602015e-27,6.00787815e-15,4.85965639e+14,8.86638176e+11,5.34021305e-22,5.35334820e-10,1.98405616e-15,1.00245967e+12,1.19991838e+11,1.00000000e+00
4,9.28146823e-11,4.44748632e+04,4.69363687e-04,7.24831027e-27,6.42410122e-15,4.79179179e+14,8.86289491e+11,1.37321365e-22,1.43266393e-10,5.10207549e-16,1.04329281e+12,1.19991838e+11,1.00000000e+00
5,4.12618968e-11,1.95275196e+04,2.07975812e-04,7.47498447e-27,6.61097991e-15,4.73257922e+14,8.84413865e+11,5.91204329e-23,5.56973412e-11,2.19640885e-16,9.42099685e+11,1.19991838e+11,1.00000000e+00
6,8.88250882e-11,3.85951440e+04,4.38054790e-04,7.42892944e-27,6.56794295e-15,4.34507240e+14,8.84103558e+11,1.05639452e-22,1.10011646e-10,3.92495141e-16,1.04138789e+12,1.19991838e+11,1.00000000e+00
7,8.86352034e-12,4.18141672e+03,4.46381894e-05,7.42158117e-27,6.55595393e-15,4.71755754e+14,8.83363502e+11,1.52799020e-23,1.16537822e-11,5.67593349e-17,7.62686970e+11,1.19991838e+11,1.00000000e+00
8,5.01750449e-12,2.32173461e+03,2.51418923e-05,7.46329531e-27,6.57794366e-15,4.62726962e+14,8.81372556e+11,8.38838006e-24,5.91373584e-12,3.11584539e-17,7.04991405e+11,1.19991838e+11,1.00000000e+00
9,4.50708150e-12,1.90474435e+03,2.20769406e-05,7.55733982e-27,6.64366911e-15,4.22611472e+14,8.79101545e+11,5.90456363e-24,5.02089520e-12,2.19347803e-17,8.50341449e+11,1.19991838e+11,1.00000000e+00
10,1.68995834e-11,6.43273259e+03,8.07888970e-05,7.55954922e-27,6.64439488e-15,3.80644447e+14,8.78940621e+11,1.75983245e-23,1.96933903e-11,6.53890360e-17,1.11904917e+12,1.19991838e+11,1.00000000e+00
11,1.06852086e-12,4.12718646e+02,5.12490459e-06,7.56648663e-27,6.64961079e-15,3.86252306e+14,8.78824099e+11,1.35300027e-24,1.07870009e-12,5.02604016e-18,7.97265243e+11,1.19991838e+11,1.00000000e+00
12,5.94306484e-13,2.03587600e+02,2.77759627e-06,7.58029120e-27,6.65897634e-15,3.42563316e+14,8.78459173e+11,6.08939127e-25,4.40898223e-13,2.26192360e-18,7.24043181e+11,1.19991838e+11,1.00000000e+00
13,5.42665959e-13,1.91189342e+02,2.55109334e-06,7.58064636e-27,6.65847157e-15,3.52314972e+14,8.78351430e+11,5.21490784e-25,4.36983937e-13,1.93726064e-18,8.37951409e+11,1.19991838e+11,1.00000000e+00
14,8.39863331e-13,3.02616628e+02,3.96708529e-06,7.58760838e-27,6.66415041e-15,3.60316515e+14,8.78293933e+11,9.45334369e-25,8.17701392e-13,3.51184818e-18,8.64986420e+11,1.19991838e+11,1.00000000e+00
15,3.32562292e-13,1.18330231e+02,1.56665275e-06,7.58524805e-27,6.66370389e-15,3.55813735e+14,8.78508368e+11,4.48231473e-25,2.28402498e-13,1.66470020e-18,5.09563723e+11,1.19991838e+11,1.00000000e+00
16,2.55313374e-13,9.38828464e+01,1.21127078e-06,7.57804638e-27,6.66250846e-15,3.67716133e+14,8.79185495e+11,3.59979944e-25,1.82802537e-13,1.33693846e-18,5.07813118e+11,1.19991838e+11,1.00000000e+00
17,3.71740509e-13,1.27777659e+02,1.73860981e-06,7.58297692e-27,6.67244639e-15,3.43728102e+14,8.79924397e+11,3.85857846e-25,3.28972861e-13,1.43342030e-18,8.52575278e+11,1.19991838e+11,1.00000000e+00
18,1.10149750e-12,3.41450818e+02,5.04736452e-06,7.58271039e-27,6.67292349e-15,3.09987828e+14,8.80018245e+11,8.05738756e-25,8.79306705e-13,2.99377232e-18,1.09130497e+12,1.19991838e+11,1.00000000e+00
19,2.26823228e-13,7.40466434e+01,1.04984398e-06,7.58504157e-27,6.67661921e-15,3.26450884e+14,8.80235019e+11,1.97920390e-25,1.50231419e-13,7.35200972e-19,7.59049732e+11,1.19991838e+11,1.00000000e+00
20,1.81236895e-13,5.90612915e+01,8.38558279e-07,7.58747865e-27,6.68048446e-15,3.25878964e+14,8.80461713e+11,1.60578058e-25,1.10167390e-13,5.96455153e-19,6.86067517e+11,1.19991838e+11,1.00000000e+00
21,2.31737939e-13,7.81579878e+01,1.07962561e-06,7.59195214e-27,6.68724743e-15,3.37268848e+14,8.80833718e+11,2.20686778e-25,1.69606406e-13,8.19775551e-19,7.68539048e+11,1.19991838e+11,1.00000000e+00
