iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.00000000e+00,1.00000000e+00
1,6.57458179e-08,3.52801120e+07,3.43071562e-01,5.93053642e-28,2.90705337e-13,5.36613783e+14,4.90183883e+14,6.57458179e-08,3.52801120e+07,3.43071562e-01,5.36613783e+14,1.00000000e+00,1.00000000e+00
2,3.75811882e-08,1.44800461e+07,1.80148798e-01,5.75995881e-28,2.82095295e-13,3.85300379e+14,4.89752278e+14,3.75811882e-08,1.44800461e+07,1.80148798e-01,3.85300379e+14,1.00000000e+00,1.00000000e+00
3,9.17257450e-09,3.93308927e+06,4.50887868e-02,5.80195633e-28,2.83924255e-13,4.28787934e+14,4.89359518e+14,9.17257450e-09,3.93308927e+06,4.50887868e-02,4.28787934e+14,1.00000000e+00,1.00000000e+00
4,2.11788441e-09,8.19665053e+05,1.01624917e-02,6.00488785e-28,2.93405643e-13,3.87020675e+14,4.88611361e+14,2.11788441e-09,8.19665053e+05,1.01624917e-02,3.87020675e+14,1.00000000e+00,1.00000000e+00
5,2.83512054e-09,1.25782110e+06,1.40546249e-02,6.40303502e-28,3.12174579e-13,4.43657008e+14,4.87541577e+14,2.83512054e-09,1.25782110e+06,1.40546249e-02,4.43657008e+14,1.00000000e+00,1.00000000e+00
6,4.90167524e-09,2.13658325e+06,2.41923718e-02,7.03582664e-28,3.41857288e-13,4.35888374e+14,4.85880772e+14,4.90167524e-09,2.13658325e+06,2.41923718e-02,4.35888374e+14,1.00000000e+00,1.00000000e+00
7,6.40971930e-09,2.76266934e+06,3.15476804e-02,7.52754823e-28,3.64747118e-13,4.31012532e+14,4.84549693e+14,6.40971930e-09,2.76266934e+06,3.15476804e-02,4.31012532e+14,1.00000000e+00,1.00000000e+00
8,4.45575345e-09,1.75271324e+06,2.14598108e-02,7.73521004e-28,3.74134209e-13,3.93359565e+14,4.83676858e+14,4.45575345e-09,1.75271324e+06,2.14598108e-02,3.93359565e+14,1.00000000e+00,1.00000000e+00
9,1.37087283e-09,5.77150949e+05,6.70875638e-03,7.72180465e-28,3.72873648e-13,4.21009838e+14,4.82884072e+14,1.37087283e-09,5.77150949e+05,6.70875638e-03,4.21009838e+14,1.00000000e+00,1.00000000e+00
10,2.86324070e-09,1.17482152e+06,1.39261378e-02,7.62301224e-28,3.67535339e-13,4.10311827e+14,4.82139248e+14,2.86324070e-09,1.17482152e+06,1.39261378e-02,4.10311827e+14,1.00000000e+00,1.00000000e+00
11,5.48078733e-09,2.65463432e+06,2.77958919e-02,7.58514617e-28,3.65561592e-13,4.84352732e+14,4.81944031e+14,5.48078733e-09,2.65463432e+06,2.77958919e-02,4.84352732e+14,1.00000000e+00,1.00000000e+00
12,7.59862880e-10,3.25796039e+05,3.73512124e-03,7.58041405e-28,3.65233932e-13,4.28756355e+14,4.81812642e+14,7.59862880e-10,3.25796039e+05,3.73512124e-03,4.28756355e+14,1.00000000e+00,1.00000000e+00
13,3.30525467e-10,1.49185670e+05,1.64566634e-03,7.60557849e-28,3.66306847e-13,4.51359080e+14,4.81629172e+14,3.30525467e-10,1.49185670e+05,1.64566634e-03,4.51359080e+14,1.00000000e+00,1.00000000e+00
14,6.57635311e-10,2.90983350e+05,3.25792269e-03,7.68286244e-28,3.69727566e-13,4.42469170e+14,4.81236738e+14,6.57635311e-10,2.90983350e+05,3.25792269e-03,4.42469170e+14,1.00000000e+00,1.00000000e+00
15,1.15792195e-09,4.89355500e+05,5.67183660e-03,7.82429237e-28,3.76032916e-13,4.22615270e+14,4.80596708e+14,1.15792195e-09,4.89355500e+05,5.67183660e-03,4.22615270e+14,1.00000000e+00,1.00000000e+00
16,1.07690709e-09,4.37469600e+05,5.22548558e-03,7.89220761e-28,3.79051283e-13,4.06227802e+14,4.80285494e+14,1.07690709e-09,4.37469600e+05,5.22548558e-03,4.06227802e+14,1.00000000e+00,1.00000000e+00
17,1.48980691e-09,6.96788510e+05,7.48598252e-03,7.99399827e-28,3.83606160e-13,4.67703906e+14,4.79867704e+14,1.48980691e-09,6.96788510e+05,7.48598252e-03,4.67703906e+14,1.00000000e+00,1.00000000e+00
18,2.65723742e-10,1.07339281e+05,1.28767583e-03,8.02635096e-28,3.85027555e-13,4.03950660e+14,4.79704360e+14,2.65723742e-10,1.07339281e+05,1.28767583e-03,4.03950660e+14,1.00000000e+00,1.00000000e+00
19,2.07217700e-10,8.16567691e+04,9.98411224e-04,8.04313052e-28,3.85692054e-13,3.94062714e+14,4.79529772e+14,2.07217700e-10,8.16567691e+04,9.98411224e-04,3.94062714e+14,1.00000000e+00,1.00000000e+00
20,4.10828999e-10,1.71317052e+05,2.00589024e-03,8.06438041e-28,3.86477112e-13,4.17003309e+14,4.79239683e+14,4.10828999e-10,1.71317052e+05,2.00589024e-03,4.17003309e+14,1.00000000e+00,1.00000000e+00
21,4.23257140e-10,1.78943586e+05,2.07342851e-03,8.08387243e-28,3.87219688e-13,4.22777479e+14,4.79002721e+14,4.23257140e-10,1.78943586e+05,2.07342851e-03,4.22777479e+14,1.00000000e+00,1.00000000e+00
22,4.38158185e-10,1.98268516e+05,2.18297123e-03,8.09914020e-28,3.87797902e-13,4.52504421e+14,4.78813668e+14,4.38158185e-10,1.98268516e+05,2.18297123e-03,4.52504421e+14,1.00000000e+00,1.00000000e+00
23,8.50208341e-11,3.22765463e+04,4.06202547e-04,8.11170764e-28,3.88326824e-13,3.79631024e+14,4.78723890e+14,8.50208341e-11,3.22765463e+04,4.06202547e-04,3.79631024e+14,1.00000000e+00,1.00000000e+00
24,9.86685381e-11,3.98451222e+04,4.78105832e-04,8.12520186e-28,3.88915366e-13,4.03828039e+14,4.78653175e+14,9.86685381e-11,3.98451222e+04,4.78105832e-04,4.03828039e+14,1.00000000e+00,1.00000000e+00
25,1.69007572e-10,7.01337403e+04,8.24224393e-04,8.15258554e-28,3.90130327e-13,4.14973954e+14,4.78535705e+14,1.69007572e-10,7.01337403e+04,8.24224393e-04,4.14973954e+14,1.00000000e+00,1.00000000e+00
26,2.29382709e-10,9.93599919e+04,1.13037116e-03,8.22121135e-28,3.93233858e-13,4.33162519e+14,4.78316201e+14,2.29382709e-10,9.93599919e+04,1.13037116e-03,4.33162519e+14,1.00000000e+00,1.00000000e+00
27,4.34777447e-10,1.93639134e+05,2.15743095e-03,8.21821068e-28,3.93137838e-13,4.45375296e+14,4.78374007e+14,4.34777447e-10,1.93639134e+05,2.15743095e-03,4.45375296e+14,1.00000000e+00,1.00000000e+00
28,5.92853539e-11,2.06581940e+04,2.78060384e-04,8.22494125e-28,3.93486156e-13,3.48453583e+14,4.78406039e+14,5.92853539e-11,2.06581940e+04,2.78060384e-04,3.48453583e+14,1.00000000e+00,1.00000000e+00
29,6.34220160e-11,2.51115115e+04,3.05913021e-04,8.24759144e-28,3.94567004e-13,3.95943129e+14,4.78402704e+14,6.34220160e-11,2.51115115e+04,3.05913021e-04,3.95943129e+14,1.00000000e+00,1.00000000e+00
30,1.00876307e-10,4.15194279e+04,4.91000000e-04,8.29065794e-28,3.96605183e-13,4.11587510e+14,4.78376005e+14,1.00876307e-10,4.15194279e+04,4.91000000e-04,4.11587510e+14,1.00000000e+00,1.00000000e+00
31,1.70638305e-10,7.55384570e+04,8.45443240e-04,8.34942286e-28,3.99347773e-13,4.42681712e+14,4.78293865e+14,1.70638305e-10,7.55384570e+04,8.45443240e-04,4.42681712e+14,1.00000000e+00,1.00000000e+00
32,9.60836838e-11,4.41983186e+04,4.80723915e-04,8.33978556e-28,3.98889749e-13,4.59998168e+14,4.78297369e+14,9.60836838e-11,4.41983186e+04,4.80723915e-04,4.59998168e+14,1.00000000e+00,1.00000000e+00
33,1.99792925e-11,7.22686985e+03,9.44505359e-05,8.33299897e-28,3.98572370e-13,3.61718007e+14,4.78306036e+14,1.99792925e-11,7.22686985e+03,9.44505359e-05,3.61718007e+14,1.00000000e+00,1.00000000e+00
34,2.44685258e-11,1.02230648e+04,1.19523647e-04,8.33309812e-28,3.98586519e-13,4.17804687e+14,4.78317324e+14,2.44685258e-11,1.02230648e+04,1.19523647e-04,4.17804687e+14,1.00000000e+00,1.00000000e+00
35,3.77293262e-11,1.71914236e+04,1.88306441e-04,8.32883595e-28,3.98434823e-13,4.55651489e+14,4.78379963e+14,3.77293262e-11,1.71914236e+04,1.88306441e-04,4.55651489e+14,1.00000000e+00,1.00000000e+00
36,1.03713095e-10,4.36248551e+04,5.07439062e-04,8.34049466e-28,3.98996957e-13,4.20630152e+14,4.78385244e+14,1.03713095e-10,4.36248551e+04,5.07439062e-04,4.20630152e+14,1.00000000e+00,1.00000000e+00
37,2.05938685e-11,6.88246739e+03,9.57658125e-05,8.34708071e-28,3.99320373e-13,3.34199832e+14,4.78395246e+14,2.05938685e-11,6.88246739e+03,9.57658125e-05,3.34199832e+14,1.00000000e+00,1.00000000e+00
38,1.56464692e-11,5.74565331e+03,7.42088785e-05,8.35094920e-28,3.99530522e-13,3.67217246e+14,4.78425281e+14,1.56464692e-11,5.74565331e+03,7.42088785e-05,3.67217246e+14,1.00000000e+00,1.00000000e+00
39,2.44771553e-11,9.97386937e+03,1.18856482e-04,8.35389639e-28,3.99718154e-13,4.07476656e+14,4.78481100e+14,2.44771553e-11,9.97386937e+03,1.18856482e-04,4.07476656e+14,1.00000000e+00,1.00000000e+00
40,5.87913996e-11,2.52705571e+04,2.89168113e-04,8.35252470e-28,3.99668793e-13,4.29834248e+14,4.78500583e+14,5.87913996e-11,2.52705571e+04,2.89168113e-04,4.29834248e+14,1.00000000e+00,1.00000000e+00
41,1.59686509e-11,5.72436678e+03,7.53452518e-05,8.34900978e-28,3.99524471e-13,3.58475290e+14,4.78529169e+14,1.59686509e-11,5.72436678e+03,7.53452518e-05,3.58475290e+14,1.00000000e+00,1.00000000e+00
42,1.01756605e-11,3.67001966e+03,4.80746136e-05,8.34833010e-28,3.99519907e-13,3.60666479e+14,4.78562661e+14,1.01756605e-11,3.67001966e+03,4.80746136e-05,3.60666479e+14,1.00000000e+00,1.00000000e+00
