iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.00000000e+00,8.33843381e-12
1,1.53886889e-07,5.66022052e+06,2.38079978e-01,2.91731893e-27,4.78631202e-15,3.67816945e+13,1.64065436e+12,4.56209239e+02,8.22801068e+14,5.71484869e+08,1.80356073e+12,1.00000000e+00,8.33843381e-12
2,6.46449695e-09,2.34667961e+05,9.97513452e-03,3.05141760e-27,4.98272262e-15,3.63010399e+13,1.63292059e+12,1.92363178e+01,3.47386856e+13,2.40973564e+07,1.80589061e+12,1.00000000e+00,8.33843381e-12
3,2.29973990e-09,8.04552420e+04,3.52316080e-03,3.50198536e-27,5.69551840e-15,3.49844963e+13,1.62636842e+12,7.34198713e+00,1.25433360e+13,9.19129272e+06,1.70843885e+12,1.00000000e+00,8.33843381e-12
4,4.79541416e-10,1.65301748e+04,7.32575388e-04,3.70322471e-27,6.00903974e-15,3.44707969e+13,1.62265059e+12,1.61063167e+00,2.59545281e+12,2.01500394e+06,1.61145025e+12,1.00000000e+00,8.33843381e-12
5,2.00631997e-10,7.12726238e+03,3.08275888e-04,3.85877634e-27,6.23093591e-15,3.55240564e+13,1.61474399e+12,7.16818389e-01,9.95672456e+11,8.95443838e+05,1.38901634e+12,1.00000000e+00,8.33843381e-12
6,4.33652353e-10,1.49421854e+04,6.62420758e-04,3.83907289e-27,6.19629056e-15,3.44565994e+13,1.61400701e+12,1.45583771e+00,2.07844496e+12,1.81909450e+06,1.42766254e+12,1.00000000e+00,8.33843381e-12
7,4.64052213e-11,1.69932645e+03,7.17305561e-05,3.83121573e-27,6.17759036e-15,3.66192942e+13,1.61243605e+12,1.91828406e-01,2.08743490e+11,2.39144753e+05,1.08817820e+12,1.00000000e+00,8.33843381e-12
8,2.60100662e-11,9.73620114e+02,4.03829125e-05,3.85343883e-27,6.18915282e-15,3.74324350e+13,1.60613755e+12,1.12197188e-01,1.05960283e+11,1.39735942e+05,9.44411213e+11,1.00000000e+00,8.33843381e-12
9,2.10566242e-11,7.40510091e+02,3.22908224e-05,3.91289283e-27,6.25809215e-15,3.51675597e+13,1.59935179e+12,7.14622864e-02,8.34801769e+10,8.91372745e+04,1.16817109e+12,1.00000000e+00,8.33843381e-12
10,7.05165704e-11,2.30739892e+03,1.06686806e-04,3.91103878e-27,6.25359587e-15,3.27213719e+13,1.59896033e+12,1.60384803e-01,2.90195377e+11,2.00918916e+05,1.80936954e+12,1.00000000e+00,8.33843381e-12
