[MetricOpStats] ParamMass_M  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
[MetricOpStats] ParamStiffness_K  (rows=4760)
  row_sum       min=-3.35276e-08  max=2.23517e-08  mean=-1.10208e-09  max/|min|=0.666667
  |row_sum|     min=7.92162e+07  max=2.64e+08  mean=1.93296e+08  max/min=3.33265
  diag          min=1.32054e+07  max=5.28e+07  mean=3.5148e+07  nonpos=0
  max_abs_entry=5.28e+07
[MetricOpStats] ParamMass_M_reprint  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
[MetricOpStats] K_over_M
  |row_sum| ratio  max=1.33333e+11  mean=2.93127e+11
[RieszAutoScale] mean(diag(K))/mean(diag(M)) = 1.19927e+11
[RieszMap] alpha1=1.19927e+15  alpha2=1  mode=auto_balanced  auto_amplify=10000
[MetricOpStats] Hcurl_H  (rows=4760  alpha1=1.19927e+15  alpha2=1  solver=sparse_direct)
  row_sum       min=4.84552e+08  max=2.37455e+12  mean=7.9083e+11  max/|min|=4900.5
  |row_sum|     min=5.24168e+08  max=2.37471e+12  mean=7.90936e+11  max/min=4530.43
  diag          min=2.28562e+08  max=1.05541e+12  mean=3.51515e+11  nonpos=0
  max_abs_entry=1.05541e+12
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=1.94232e-20 e[2]=0 e[3]=0 e[4]=0 e[5]=3.04886e-21 e[6]=6.23894e-21 e[7]=0 e[8]=0 e[9]=4.1359e-24 e[10]=9.99201e-16 e[11]=1.41517e-20 e[12]=0
MrHyDE vector contract check: max_primal_err=0 max_dual_err=9.99201e-16 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.230816e-11   5.336198e-05   ---            ---            1         1         ---       ---       
  1     3.802011e-12   3.208854e-05   1.169209e-06   2.191090e-02   5         2         3         0         
  2     4.858577e-13   9.949470e-06   3.826537e-07   1.000000e+00   7         3         1         0         
  3     4.269884e-13   1.125186e-05   3.448170e-08   2.574996e-01   10        4         2         0         
  4     3.491411e-13   6.320310e-06   2.636335e-08   1.000000e+00   12        5         1         0         
  5     2.385482e-13   5.154953e-06   6.517283e-08   1.000000e+00   14        6         1         0         
  6     1.591831e-13   5.466090e-06   7.162584e-08   1.000000e+00   16        7         1         0         
  7     1.371915e-13   8.188503e-06   4.059265e-08   3.208519e-01   19        8         2         0         
  8     9.350189e-14   3.476832e-06   3.970237e-08   1.000000e+00   21        9         1         0         
  9     7.104279e-14   2.469320e-06   2.628466e-08   1.000000e+00   23        10        1         0         
  10    5.146369e-14   2.713037e-06   3.420631e-08   1.000000e+00   25        11        1         0         
  11    4.528217e-14   3.502049e-06   1.858276e-08   4.168678e-01   28        12        2         0         
  12    3.634586e-14   1.921997e-06   1.632490e-08   1.000000e+00   30        13        1         0         
  13    2.853461e-14   1.558997e-06   1.833442e-08   1.000000e+00   32        14        1         0         
  14    2.147484e-14   2.030579e-06   2.407663e-08   1.000000e+00   34        15        1         0         
  15    2.009311e-14   3.489316e-06   3.206973e-08   1.000000e+00   36        16        1         0         
  16    1.444424e-14   1.027559e-06   6.181029e-09   1.000000e+00   38        17        1         0         
  17    1.324063e-14   7.795841e-07   3.526216e-09   1.000000e+00   40        18        1         0         
  18    1.161983e-14   1.047935e-06   7.543032e-09   1.000000e+00   42        19        1         0         
  19    9.267453e-15   1.251735e-06   1.396545e-08   1.000000e+00   44        20        1         0         
  20    8.035558e-15   1.679070e-06   1.310274e-08   4.468882e-01   47        21        2         0         
  21    5.998181e-15   7.443616e-07   1.408628e-08   1.000000e+00   49        22        1         0         
  22    5.165425e-15   4.697500e-07   6.329297e-09   1.000000e+00   51        23        1         0         
  23    4.546620e-15   5.897744e-07   5.582779e-09   1.000000e+00   53        24        1         0         
  24    4.000177e-15   9.425433e-07   8.347613e-09   1.000000e+00   55        25        1         0         
  25    3.303638e-15   5.709939e-07   7.426237e-09   1.000000e+00   57        26        1         0         
  26    2.820556e-15   4.102317e-07   5.127126e-09   1.000000e+00   59        27        1         0         
  27    2.481476e-15   5.720500e-07   6.088665e-09   1.000000e+00   61        28        1         0         
  28    2.178780e-15   4.446734e-07   4.032826e-09   1.000000e+00   63        29        1         0         
  29    1.838640e-15   4.042808e-07   5.159259e-09   1.000000e+00   65        30        1         0         
  30    1.444769e-15   4.227997e-07   8.394740e-09   1.000000e+00   67        31        1         0         
  31    1.293646e-15   4.993059e-07   4.680464e-09   4.166068e-01   70        32        2         0         
  32    1.122137e-15   3.020063e-07   2.673991e-09   1.000000e+00   72        33        1         0         
  33    9.623221e-16   2.373685e-07   3.333266e-09   1.000000e+00   74        34        1         0         
  34    8.566187e-16   2.906356e-07   2.994009e-09   1.000000e+00   76        35        1         0         
  35    7.392918e-16   2.861358e-07   4.326257e-09   1.000000e+00   78        36        1         0         
  36    6.382726e-16   2.327903e-07   2.559368e-09   1.000000e+00   80        37        1         0         
  37    5.232214e-16   2.326948e-07   3.623351e-09   1.000000e+00   82        38        1         0         
  38    4.329938e-16   2.607471e-07   3.555349e-09   1.000000e+00   84        39        1         0         
  39    3.586882e-16   2.116141e-07   3.786427e-09   1.000000e+00   86        40        1         0         
  40    3.171709e-16   1.410565e-07   1.304292e-09   1.000000e+00   88        41        1         0         
  41    2.924489e-16   1.313081e-07   6.937253e-10   1.000000e+00   90        42        1         0         
  42    2.443266e-16   1.590600e-07   2.110826e-09   1.000000e+00   92        43        1         0         
  43    2.316344e-16   3.259739e-07   3.757846e-09   1.000000e+00   94        44        1         0         
  44    1.827479e-16   1.093817e-07   4.605071e-10   1.000000e+00   96        45        1         0         
  45    1.671360e-16   8.188041e-08   6.511223e-10   1.000000e+00   98        46        1         0         
  46    1.494374e-16   9.496914e-08   1.254351e-09   1.000000e+00   100       47        1         0         
  47    1.229100e-16   1.158236e-07   1.973578e-09   1.000000e+00   102       48        1         0         
  48    1.174344e-16   2.157898e-07   3.666612e-09   1.000000e+00   104       49        1         0         
  49    9.200610e-17   5.867974e-08   8.640430e-10   1.000000e+00   106       50        1         0         
  50    8.691200e-17   5.156285e-08   3.258456e-10   1.000000e+00   108       51        1         0         
  51    7.791663e-17   6.481779e-08   7.327589e-10   1.000000e+00   110       52        1         0         
  52    7.530440e-17   1.507451e-07   1.450559e-09   1.000000e+00   112       53        1         0         
  53    6.470595e-17   4.966181e-08   3.953166e-10   1.000000e+00   114       54        1         0         
  54    6.109634e-17   3.826750e-08   4.649514e-10   1.000000e+00   116       55        1         0         
