[MetricOpStats] ParamMass_M  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] ParamStiffness_K  (rows=14264)
  row_sum       min=-8.9407e-08  max=8.9407e-08  mean=1.38068e-08  max/|min|=1
  |row_sum|     min=2.37605e+08  max=7.92e+08  mean=5.80481e+08  max/min=3.33326
  diag          min=3.96018e+07  max=1.584e+08  mean=1.05543e+08  nonpos=0
  max_abs_entry=1.584e+08
[MetricOpStats] ParamMass_M_reprint  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] K_over_M
  |row_sum| ratio  max=1.33333e+11  mean=2.9331e+11
[RieszAutoScale] mean(diag(K))/mean(diag(M)) = 1.19992e+11
[RieszMap] alpha1=1.19992e+12  alpha2=1  mode=auto_balanced  auto_amplify=10
[MetricOpStats] Hcurl_H  (rows=14264  alpha1=1.19992e+12  alpha2=1  solver=sparse_direct)
  row_sum       min=161605  max=7.12752e+09  mean=2.37472e+09  max/|min|=44104.5
  |row_sum|     min=2.37659e+08  max=7.60272e+09  mean=2.84952e+09  max/min=31.99
  diag          min=3.96736e+07  max=3.32618e+09  mean=1.16097e+09  nonpos=0
  max_abs_entry=3.32618e+09
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=1.25181e-19 e[2]=0 e[3]=0 e[4]=0 e[5]=2.2934e-20 e[6]=4.56259e-20 e[7]=0 e[8]=0 e[9]=1.05879e-22 e[10]=4.44089e-16 e[11]=8.53572e-18 e[12]=3.05986e-15
MrHyDE vector contract check: max_primal_err=0 max_dual_err=3.05986e-15 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.241567e-11   5.094305e-04   ---            ---            1         1         ---       ---       
  1     1.528582e-12   1.674484e-04   6.841087e-08   1.342889e-04   7         2         5         0         
  2     3.827912e-13   5.226473e-05   1.476555e-08   1.000000e+00   9         3         1         0         
  3     1.645327e-13   2.896344e-05   8.065138e-09   1.000000e+00   11        4         1         0         
  4     5.905599e-14   1.697573e-05   8.158978e-09   1.000000e+00   13        5         1         0         
  5     4.371391e-14   2.840129e-05   6.979442e-09   1.000000e+00   15        6         1         0         
  6     1.839363e-14   7.933792e-06   2.083833e-09   1.000000e+00   17        7         1         0         
  7     1.388020e-14   5.640553e-06   1.075309e-09   1.000000e+00   19        8         1         0         
  8     8.378180e-15   5.499879e-06   2.472140e-09   1.000000e+00   21        9         1         0         
  9     7.945011e-15   1.266477e-05   3.192451e-09   1.000000e+00   23        10        1         0         
  10    3.899770e-15   3.574916e-06   6.862411e-10   1.000000e+00   25        11        1         0         
  11    3.089353e-15   2.340772e-06   4.922637e-10   1.000000e+00   27        12        1         0         
  12    2.216675e-15   2.598821e-06   1.035146e-09   1.000000e+00   29        13        1         0         
  13    1.312428e-15   2.321157e-06   1.307120e-09   1.000000e+00   31        14        1         0         
  14    1.029367e-15   2.952322e-06   8.106364e-10   3.750740e-01   34        15        2         0         
  15    5.976352e-16   1.249969e-06   8.998876e-10   1.000000e+00   36        16        1         0         
  16    4.282466e-16   9.604287e-07   3.784510e-10   1.000000e+00   38        17        1         0         
  17    2.728388e-16   1.210635e-06   6.279010e-10   1.000000e+00   40        18        1         0         
  18    2.544281e-16   1.630947e-06   5.470645e-10   1.000000e+00   42        19        1         0         
  19    1.703254e-16   5.153230e-07   1.769213e-10   1.000000e+00   44        20        1         0         
  20    1.475160e-16   3.790595e-07   9.455940e-11   1.000000e+00   46        21        1         0         
  21    1.203053e-16   4.176155e-07   2.139466e-10   1.000000e+00   48        22        1         0         
  22    9.744089e-17   5.283101e-07   2.665117e-10   1.000000e+00   50        23        1         0         
  23    8.650610e-17   5.115405e-07   3.332264e-10   1.000000e+00   52        24        1         0         
  24    7.471634e-17   2.351085e-07   7.048504e-11   1.000000e+00   54        25        1         0         
  25    6.871423e-17   2.434633e-07   7.495856e-11   1.000000e+00   56        26        1         0         
  26    6.146295e-17   3.065621e-07   1.456288e-10   1.000000e+00   58        27        1         0         
  27    5.638487e-17   3.466764e-07   1.567868e-10   4.729919e-01   61        28        2         0         
  28    4.997045e-17   2.188042e-07   2.116010e-10   1.000000e+00   63        29        1         0         
  29    4.500722e-17   2.116491e-07   1.883054e-10   1.000000e+00   65        30        1         0         
  30    4.356894e-17   4.166639e-07   2.688097e-10   1.000000e+00   67        31        1         0         
  31    3.731566e-17   2.076385e-07   6.401438e-11   1.000000e+00   69        32        1         0         
  32    3.371516e-17   1.773965e-07   6.825391e-11   1.000000e+00   71        33        1         0         
