[MetricOpStats] ParamMass_M  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] ParamStiffness_K  (rows=14264)
  row_sum       min=-8.9407e-08  max=8.9407e-08  mean=1.38068e-08  max/|min|=1
  |row_sum|     min=2.37605e+08  max=7.92e+08  mean=5.80481e+08  max/min=3.33326
  diag          min=3.96018e+07  max=1.584e+08  mean=1.05543e+08  nonpos=0
  max_abs_entry=1.584e+08
[MetricOpStats] ParamMass_M_reprint  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] K_over_M
  |row_sum| ratio  max=1.33333e+11  mean=2.9331e+11
[RieszAutoScale] mean(diag(K))/mean(diag(M)) = 1.19992e+11
[RieszMap] alpha1=1.19992e+13  alpha2=1  mode=auto_balanced  auto_amplify=100
[MetricOpStats] Hcurl_H  (rows=14264  alpha1=1.19992e+13  alpha2=1  solver=sparse_direct)
  row_sum       min=1.61605e+06  max=7.12752e+10  mean=2.37472e+10  max/|min|=44104.5
  |row_sum|     min=2.38144e+08  max=7.17504e+10  mean=2.42207e+10  max/min=301.29
  diag          min=4.032e+07  max=3.18362e+10  mean=1.06599e+10  nonpos=0
  max_abs_entry=3.18362e+10
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=7.02677e-20 e[2]=0 e[3]=0 e[4]=0 e[5]=1.29424e-20 e[6]=2.57829e-20 e[7]=0 e[8]=0 e[9]=2.64698e-23 e[10]=4.44089e-16 e[11]=8.86409e-19 e[12]=2.97428e-15
MrHyDE vector contract check: max_primal_err=0 max_dual_err=2.97428e-15 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.241567e-11   2.907675e-04   ---            ---            1         1         ---       ---       
  1     1.185960e-12   7.297091e-05   1.127263e-07   3.876854e-04   7         2         5         0         
  2     4.135328e-13   3.351902e-05   2.265080e-08   1.000000e+00   9         3         1         0         
  3     1.841693e-13   3.404588e-05   2.111713e-08   1.000000e+00   11        4         1         0         
  4     1.551918e-13   4.339957e-05   1.239459e-08   1.000000e+00   13        5         1         0         
  5     8.617123e-14   1.391657e-05   4.348854e-09   1.000000e+00   15        6         1         0         
  6     6.753576e-14   1.003177e-05   2.560688e-09   1.000000e+00   17        7         1         0         
  7     4.210386e-14   1.033255e-05   6.511680e-09   1.000000e+00   19        8         1         0         
  8     2.923093e-14   1.420663e-05   6.425358e-09   1.000000e+00   21        9         1         0         
  9     1.877190e-14   6.183414e-06   4.785360e-09   1.000000e+00   23        10        1         0         
  10    1.539688e-14   4.296324e-06   1.150993e-09   1.000000e+00   25        11        1         0         
  11    1.119117e-14   4.457253e-06   2.611189e-09   1.000000e+00   27        12        1         0         
  12    9.658214e-15   8.136176e-06   3.629805e-09   1.000000e+00   29        13        1         0         
  13    7.029007e-15   3.313235e-06   8.831127e-10   1.000000e+00   31        14        1         0         
  14    5.760903e-15   2.434415e-06   1.356309e-09   1.000000e+00   33        15        1         0         
  15    4.843060e-15   2.718631e-06   1.454325e-09   1.000000e+00   35        16        1         0         
  16    3.378158e-15   2.766449e-06   2.540510e-09   1.000000e+00   37        17        1         0         
  17    2.905585e-15   2.902858e-06   1.416744e-09   3.473133e-01   40        18        2         0         
  18    2.312218e-15   1.542702e-06   1.188043e-09   1.000000e+00   42        19        1         0         
  19    1.921303e-15   1.487243e-06   8.580838e-10   1.000000e+00   44        20        1         0         
  20    1.522842e-15   2.085865e-06   1.332330e-09   1.000000e+00   46        21        1         0         
  21    1.310485e-15   2.365243e-06   1.563094e-09   1.000000e+00   48        22        1         0         
  22    1.023769e-15   1.048033e-06   3.041692e-10   1.000000e+00   50        23        1         0         
  23    8.504798e-16   1.016724e-06   5.183293e-10   1.000000e+00   52        24        1         0         
  24    7.093530e-16   1.134245e-06   6.589809e-10   1.000000e+00   54        25        1         0         
  25    5.493042e-16   2.003888e-06   1.509598e-09   1.000000e+00   56        26        1         0         
  26    3.795345e-16   8.311858e-07   1.115970e-09   1.000000e+00   58        27        1         0         
  27    3.142091e-16   5.333180e-07   2.455907e-10   1.000000e+00   60        28        1         0         
  28    2.421983e-16   5.635287e-07   3.519091e-10   1.000000e+00   62        29        1         0         
  29    2.023429e-16   1.008193e-06   6.284701e-10   1.000000e+00   64        30        1         0         
  30    1.477918e-16   4.649968e-07   3.871144e-10   1.000000e+00   66        31        1         0         
  31    1.210201e-16   3.396118e-07   3.123444e-10   1.000000e+00   68        32        1         0         
  32    9.991393e-17   4.087991e-07   3.237175e-10   1.000000e+00   70        33        1         0         
  33    8.508074e-17   6.255501e-07   4.075872e-10   1.000000e+00   72        34        1         0         
  34    6.597487e-17   2.757908e-07   1.165930e-10   1.000000e+00   74        35        1         0         
  35    5.598949e-17   2.148942e-07   1.264208e-10   1.000000e+00   76        36        1         0         
  36    4.891812e-17   2.387888e-07   1.209813e-10   1.000000e+00   78        37        1         0         
  37    4.045986e-17   4.546877e-07   3.079216e-10   1.000000e+00   80        38        1         0         
  38    3.110581e-17   2.094889e-07   2.053093e-10   1.000000e+00   82        39        1         0         
  39    2.723237e-17   1.434386e-07   5.164134e-11   1.000000e+00   84        40        1         0         
  40    2.292817e-17   1.697975e-07   1.118571e-10   1.000000e+00   86        41        1         0         
  41    2.000403e-17   2.553127e-07   1.562952e-10   1.000000e+00   88        42        1         0         
  42    1.642142e-17   1.559676e-07   9.149070e-11   1.000000e+00   90        43        1         0         
  43    1.329316e-17   1.155611e-07   1.527550e-10   1.000000e+00   92        44        1         0         
  44    1.216794e-17   1.374407e-07   6.904903e-11   1.000000e+00   94        45        1         0         
  45    1.078611e-17   1.116162e-07   5.088441e-11   1.000000e+00   96        46        1         0         
  46    9.372863e-18   1.856776e-07   1.450396e-10   1.000000e+00   98        47        1         0         
  47    8.047622e-18   1.041148e-07   6.218835e-11   1.000000e+00   100       48        1         0         
  48    7.396470e-18   6.639336e-08   1.818583e-11   1.000000e+00   102       49        1         0         
  49    6.444286e-18   5.092954e-08   4.468633e-11   1.000000e+00   104       50        1         0         
  50    5.938492e-18   9.171406e-08   7.582177e-11   1.000000e+00   106       51        1         0         
  51    5.340441e-18   6.331211e-08   8.815766e-11   1.000000e+00   108       52        1         0         
  52    4.821373e-18   4.848754e-08   5.468881e-11   1.000000e+00   110       53        1         0         
  53    4.474437e-18   7.977090e-08   8.556193e-11   1.000000e+00   112       54        1         0         
  54    4.103638e-18   5.471586e-08   2.625939e-11   1.000000e+00   114       55        1         0         
  55    3.877150e-18   4.296890e-08   1.754863e-11   1.000000e+00   116       56        1         0         
  56    3.589603e-18   5.175712e-08   5.055376e-11   1.000000e+00   118       57        1         0         
  57    3.476700e-18   6.120998e-08   4.835139e-11   1.000000e+00   120       58        1         0         
  58    3.305251e-18   3.742622e-08   1.833599e-11   1.000000e+00   122       59        1         0         
  59    3.127251e-18   2.908282e-08   4.315380e-11   1.000000e+00   124       60        1         0         
  60    3.039251e-18   3.386458e-08   2.505857e-11   1.000000e+00   126       61        1         0         
  61    2.991821e-18   6.021578e-08   6.276521e-11   1.000000e+00   128       62        1         0         
  62    2.811423e-18   2.923378e-08   1.499297e-11   1.000000e+00   130       63        1         0         
  63    2.725023e-18   2.571247e-08   1.002625e-11   1.000000e+00   132       64        1         0         
  64    2.627653e-18   2.999851e-08   2.066912e-11   1.000000e+00   134       65        1         0         
  65    2.570995e-18   3.105692e-08   2.255981e-11   4.922971e-01   137       66        2         0         
  66    2.500077e-18   2.436950e-08   3.289064e-11   1.000000e+00   139       67        1         0         
  67    2.420757e-18   3.065558e-08   4.387822e-11   1.000000e+00   141       68        1         0         
  68    2.347323e-18   3.180585e-08   4.235641e-11   1.000000e+00   143       69        1         0         
  69    2.277729e-18   2.174772e-08   9.775361e-12   1.000000e+00   145       70        1         0         
  70    2.189464e-18   2.254889e-08   2.402900e-11   1.000000e+00   147       71        1         0         
