iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.19991838e+13,1.00000000e+00
1,1.41093606e-08,6.76585792e+06,7.13648899e-02,6.87883222e-28,4.42450259e-15,4.79529734e+14,6.43205481e+12,2.89649251e-22,1.84919885e-09,1.08051139e-15,6.38426942e+12,1.19991838e+13,1.00000000e+00
2,3.06294379e-09,1.43328190e+06,1.53927330e-02,7.72407294e-28,4.93993078e-15,4.67942606e+14,6.39549992e+12,5.89105036e-23,4.16646768e-10,2.19874287e-16,7.07253787e+12,1.19991838e+13,1.00000000e+00
3,3.58359417e-09,9.75582945e+05,1.60414193e-02,8.50370030e-28,5.42254041e-15,2.72235889e+14,6.37668334e+12,4.20031361e-23,6.55118891e-10,1.57774799e-16,1.55969042e+13,1.19991838e+13,1.00000000e+00
4,7.06696401e-09,1.47853470e+06,3.03846300e-02,8.36021631e-28,5.32915739e-15,2.09217805e+14,6.37442524e+12,4.91364785e-23,1.29392509e-09,1.86049718e-16,2.63332889e+13,1.19991838e+13,1.00000000e+00
5,5.51311458e-10,2.21745530e+05,2.66892541e-03,8.39629217e-28,5.34936516e-15,4.02214622e+14,6.37110412e+12,9.15826331e-24,8.37792081e-11,3.42351233e-17,9.14793615e+12,1.19991838e+13,1.00000000e+00
6,2.83313820e-10,1.30128622e+05,1.41692215e-03,8.58850999e-28,5.46271191e-15,4.59309121e+14,6.36048851e+12,5.19536463e-24,3.82963525e-11,1.93952445e-17,7.37125404e+12,1.19991838e+13,1.00000000e+00
7,3.70404058e-10,1.10447769e+05,1.68502341e-03,8.77219623e-28,5.57493510e-15,2.98181854e+14,6.35523301e+12,3.87635054e-24,6.02486097e-11,1.45599991e-17,1.55426113e+13,1.19991838e+13,1.00000000e+00
8,7.39445857e-10,1.60865119e+05,3.19655391e-03,8.97079661e-28,5.69678985e-15,2.17548206e+14,6.35037233e+12,5.39442454e-24,1.37099606e-10,2.04114801e-17,2.54150569e+13,1.19991838e+13,1.00000000e+00
9,1.25250519e-10,4.50635017e+04,5.91433352e-04,8.94777104e-28,5.68387301e-15,3.59786946e+14,6.35227811e+12,1.64807686e-24,1.84590323e-11,6.17027837e-18,1.12003468e+13,1.19991838e+13,1.00000000e+00
10,5.15794194e-11,2.25681603e+04,2.54811154e-04,8.94150596e-28,5.68329502e-15,4.37541961e+14,6.35608258e+12,9.20540211e-25,7.41266711e-12,3.43830426e-18,8.05251854e+12,1.19991838e+13,1.00000000e+00
11,7.01321956e-11,2.03155042e+04,3.17367752e-04,9.02422016e-28,5.73894236e-15,2.89674436e+14,6.35948843e+12,6.88749933e-25,1.16026642e-11,2.58953930e-18,1.68459751e+13,1.19991838e+13,1.00000000e+00
12,2.75932213e-10,5.55984362e+04,1.18039844e-03,9.04256051e-28,5.75101474e-15,2.01493097e+14,6.35994057e+12,1.55336548e-24,4.75582438e-11,5.90030998e-18,3.06162615e+13,1.19991838e+13,1.00000000e+00
13,3.65771632e-11,1.22863673e+04,1.70266251e-04,9.08305679e-28,5.77778248e-15,3.35902684e+14,6.36105511e+12,4.41509736e-25,5.67977054e-12,1.65504140e-18,1.28644288e+13,1.19991838e+13,1.00000000e+00
14,1.89615939e-11,7.25906129e+03,9.07626539e-05,9.12038802e-28,5.80352928e-15,3.82829699e+14,6.36324821e+12,2.60326254e-25,2.80267584e-12,9.74325066e-19,1.07660131e+13,1.19991838e+13,1.00000000e+00
15,2.72729296e-11,8.18096664e+03,1.24205203e-04,9.16301881e-28,5.83646949e-15,2.99966551e+14,6.36959239e+12,2.54543649e-25,4.33663587e-12,9.57161185e-19,1.70369047e+13,1.19991838e+13,1.00000000e+00
16,2.96264108e-11,7.80164314e+03,1.31878182e-04,9.18732366e-28,5.85545013e-15,2.63334064e+14,6.37340138e+12,2.20783782e-25,5.00401586e-12,8.33700239e-19,2.26647800e+13,1.19991838e+13,1.00000000e+00
17,3.73447537e-11,8.76197014e+03,1.63227051e-04,9.19049248e-28,5.86094321e-15,2.34623857e+14,6.37718079e+12,2.10199790e-25,5.90435870e-12,7.96933383e-19,2.80892702e+13,1.19991838e+13,1.00000000e+00
18,8.01862049e-12,3.48940891e+03,3.95598382e-05,9.18774914e-28,5.86096407e-15,4.35163245e+14,6.37910763e+12,1.05271437e-25,1.11675793e-12,3.93953651e-19,1.06083659e+13,1.19991838e+13,1.00000000e+00
19,7.99254934e-12,3.02183344e+03,3.81511089e-05,9.19573840e-28,5.86802926e-15,3.78081299e+14,6.38124858e+12,8.69378331e-26,1.16870791e-12,3.26035908e-19,1.34430302e+13,1.19991838e+13,1.00000000e+00
20,1.81952884e-11,4.37097895e+03,7.98142588e-05,9.21230473e-28,5.88068527e-15,2.40225868e+14,6.38351145e+12,1.11896033e-25,3.00817176e-12,4.23854460e-19,2.68836318e+13,1.19991838e+13,1.00000000e+00
21,2.55560458e-11,5.65666392e+03,1.10748492e-04,9.22048636e-28,5.88527922e-15,2.21343472e+14,6.38282949e+12,1.32974377e-25,3.99879240e-12,5.04887331e-19,3.00719018e+13,1.19991838e+13,1.00000000e+00
22,3.82866266e-12,1.60538170e+03,1.87183481e-05,9.23505967e-28,5.89434164e-15,4.19306123e+14,6.38257018e+12,4.71186241e-26,5.32988405e-13,1.76423370e-19,1.13116292e+13,1.19991838e+13,1.00000000e+00
23,4.25157578e-12,1.40606962e+03,1.97291760e-05,9.24661652e-28,5.90221881e-15,3.30717291e+14,6.38311192e+12,3.44694186e-26,6.20123419e-13,1.29707681e-19,1.79905390e+13,1.19991838e+13,1.00000000e+00
24,5.72962790e-12,1.55225452e+03,2.56266154e-05,9.26294804e-28,5.91455871e-15,2.70917161e+14,6.38517963e+12,3.53385437e-26,8.62479022e-13,1.33614318e-19,2.44061846e+13,1.19991838e+13,1.00000000e+00
