[MetricOpStats] ParamMass_M  (rows=9512)
  row_sum       min=2.0202e-07  max=0.00396  mean=0.00131916  max/|min|=19602
  |row_sum|     min=2.0202e-07  max=0.00396  mean=0.00131916  max/min=19602
  diag          min=8.97868e-08  max=0.00176  mean=0.000586293  nonpos=0
  max_abs_entry=0.00176
[MetricOpStats] ParamStiffness_K  (rows=9512)
  row_sum       min=-5.96046e-08  max=5.21541e-08  mean=3.50021e-09  max/|min|=0.875
  |row_sum|     min=1.58408e+08  max=5.28e+08  mean=3.86885e+08  max/min=3.33316
  diag          min=2.64027e+07  max=1.056e+08  mean=7.03444e+07  nonpos=0
  max_abs_entry=1.056e+08
[MetricOpStats] ParamMass_M_reprint  (rows=9512)
  row_sum       min=2.0202e-07  max=0.00396  mean=0.00131916  max/|min|=19602
  |row_sum|     min=2.0202e-07  max=0.00396  mean=0.00131916  max/min=19602
  diag          min=8.97868e-08  max=0.00176  mean=0.000586293  nonpos=0
  max_abs_entry=0.00176
[MetricOpStats] K_over_M
  |row_sum| ratio  max=1.33333e+11  mean=2.93282e+11
[RieszAutoScale] mean(diag(K))/mean(diag(M)) = 1.19982e+11
[RieszMap] alpha1=1.19982e+11  alpha2=1  mode=auto_balanced
[MetricOpStats] Hcurl_H  (rows=9512  alpha1=1.19982e+11  alpha2=1  solver=sparse_direct)
  row_sum       min=24238.7  max=4.75127e+08  mean=1.58275e+08  max/|min|=19602
  |row_sum|     min=1.58416e+08  max=7.91943e+08  mean=4.74803e+08  max/min=4.99913
  diag          min=2.64135e+07  max=3.16768e+08  mean=1.40689e+08  nonpos=0
  max_abs_entry=3.16768e+08
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=1.71989e-19 e[2]=0 e[3]=0 e[4]=0 e[5]=2.66721e-20 e[6]=5.56081e-20 e[7]=0 e[8]=0 e[9]=1.58819e-22 e[10]=5.55112e-16 e[11]=8.06557e-18 e[12]=3.90807e-15
MrHyDE vector contract check: max_primal_err=0 max_dual_err=3.90807e-15 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.240540e-11   4.582207e-04   ---            ---            1         1         ---       ---       
  1     1.693808e-12   1.631381e-04   8.692457e-08   1.897002e-04   7         2         5         0         
  2     3.660300e-13   4.548261e-05   1.987057e-08   1.000000e+00   9         3         1         0         
  3     1.658767e-13   2.591311e-05   8.918303e-09   1.000000e+00   11        4         1         0         
  4     5.350341e-14   1.315882e-05   1.030889e-08   1.000000e+00   13        5         1         0         
  5     1.965889e-14   8.016610e-06   7.147536e-09   1.000000e+00   15        6         1         0         
  6     1.396552e-14   1.144044e-05   6.109900e-09   1.000000e+00   17        7         1         0         
  7     6.294127e-15   3.776090e-06   1.700671e-09   1.000000e+00   19        8         1         0         
  8     4.473188e-15   2.683635e-06   1.061332e-09   1.000000e+00   21        9         1         0         
  9     2.359954e-15   2.454919e-06   2.394242e-09   1.000000e+00   23        10        1         0         
  10    2.053237e-15   4.718932e-06   2.508023e-09   1.000000e+00   25        11        1         0         
  11    9.662810e-16   1.178444e-06   5.880692e-10   1.000000e+00   27        12        1         0         
  12    8.009819e-16   7.467745e-07   3.283703e-10   1.000000e+00   29        13        1         0         
  13    6.493040e-16   7.372192e-07   5.957230e-10   1.000000e+00   31        14        1         0         
  14    5.266855e-16   8.916986e-07   6.939971e-10   1.000000e+00   33        15        1         0         
  15    4.455282e-16   6.823157e-07   7.609903e-10   1.000000e+00   35        16        1         0         
  16    3.918787e-16   4.799377e-07   2.354859e-10   1.000000e+00   37        17        1         0         
  17    3.222466e-16   5.424403e-07   5.947639e-10   1.000000e+00   39        18        1         0         
  18    2.820490e-16   8.386926e-07   7.406247e-10   1.000000e+00   41        19        1         0         
  19    2.300306e-16   4.667431e-07   6.742095e-10   1.000000e+00   43        20        1         0         
  20    1.944229e-16   3.783568e-07   4.965564e-10   1.000000e+00   45        21        1         0         
  21    1.658816e-16   4.982689e-07   5.859962e-10   1.000000e+00   47        22        1         0         
  22    1.390378e-16   5.561664e-07   7.307564e-10   1.000000e+00   49        23        1         0         
  23    1.158299e-16   4.106350e-07   6.661549e-10   1.000000e+00   51        24        1         0         
  24    1.017666e-16   3.281364e-07   4.010291e-10   1.000000e+00   53        25        1         0         
  25    9.073651e-17   3.079174e-07   1.965931e-10   1.000000e+00   55        26        1         0         
  26    8.071811e-17   3.330253e-07   3.867166e-10   1.000000e+00   57        27        1         0         
  27    7.526433e-17   2.916138e-07   3.046574e-10   4.633057e-01   60        28        2         0         
  28    7.081715e-17   2.703806e-07   4.977739e-10   1.000000e+00   62        29        1         0         
  29    6.774441e-17   3.036303e-07   3.269167e-10   4.664678e-01   65        30        2         0         
  30    6.515170e-17   3.098267e-07   7.858994e-10   1.000000e+00   67        31        1         0         
  31    6.155388e-17   3.347639e-07   2.662737e-10   4.591015e-01   70        32        2         0         
  32    5.253696e-17   2.958640e-07   5.033349e-10   1.000000e+00   72        33        1         0         
  33    4.709015e-17   3.157912e-07   3.025342e-10   4.896419e-01   75        34        2         0         
  34    4.425376e-17   2.708472e-07   6.470666e-10   1.000000e+00   77        35        1         0         
  35    4.251687e-17   3.468639e-07   2.738073e-10   1.000000e+00   79        36        1         0         
  36    3.338580e-17   2.173397e-07   1.615383e-10   1.000000e+00   81        37        1         0         
  37    2.852853e-17   1.875817e-07   1.936639e-10   1.000000e+00   83        38        1         0         
  38    2.800604e-17   2.136218e-07   2.203272e-10   1.000000e+00   85        39        1         0         
  39    2.722001e-17   1.934805e-07   3.189668e-10   1.000000e+00   87        40        1         0         
  40    2.639492e-17   2.130919e-07   2.592234e-10   4.354072e-01   90        41        2         0         
  41    2.576899e-17   1.630130e-07   4.571827e-10   1.000000e+00   92        42        1         0         
  42    2.416564e-17   2.008007e-07   1.785516e-10   1.000000e+00   94        43        1         0         
