iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.19926598e+11,1.00000000e+00
1,5.57108269e-07,2.01328458e+07,8.58889882e-01,1.44663415e-27,2.37668480e-15,3.61381206e+13,1.64290660e+12,1.16115823e-19,2.07818726e-07,1.45442647e-13,1.78975371e+12,1.19926598e+11,1.00000000e+00
2,1.31900769e-08,4.74704388e+05,2.03185483e-02,1.51472492e-27,2.47661271e-15,3.59895088e+13,1.63502473e+12,2.71081459e-21,4.93175682e-09,3.39614616e-15,1.81928961e+12,1.19926598e+11,1.00000000e+00
3,5.00416761e-09,1.76539764e+05,7.67868237e-03,1.75620905e-27,2.85729154e-15,3.52785473e+13,1.62696551e+12,1.08517974e-21,1.87985258e-09,1.35873361e-15,1.73229605e+12,1.19926598e+11,1.00000000e+00
4,8.60360072e-10,2.98023295e+04,1.31555695e-03,1.84679054e-27,2.99783292e-15,3.46393684e+13,1.62326634e+12,1.99909768e-22,3.17479569e-10,2.50060725e-16,1.58811434e+12,1.19926598e+11,1.00000000e+00
5,4.77378585e-10,1.69454303e+04,7.33394301e-04,1.92547550e-27,3.11079165e-15,3.54968380e+13,1.61559659e+12,1.10679350e-22,1.58757871e-10,1.38302041e-16,1.43439469e+12,1.19926598e+11,1.00000000e+00
6,7.59922206e-10,2.54024296e+04,1.15422890e-03,1.90889881e-27,3.08224638e-15,3.34276711e+13,1.61467248e+12,1.47721211e-22,2.32164116e-10,1.84759242e-16,1.57163697e+12,1.19926598e+11,1.00000000e+00
7,9.59937232e-11,3.50784387e+03,1.48319538e-04,1.90538831e-27,3.07318252e-15,3.65424295e+13,1.61289040e+12,2.70536552e-23,2.93309954e-11,3.37257922e-17,1.08417865e+12,1.19926598e+11,1.00000000e+00
8,5.89319445e-11,2.19186241e+03,9.13783016e-05,1.92069561e-27,3.08517465e-15,3.71931120e+13,1.60627985e+12,1.64010201e-23,1.63645232e-11,2.04340109e-17,9.97774717e+11,1.19926598e+11,1.00000000e+00
9,5.19970102e-11,1.80644131e+03,7.95520350e-05,1.93445591e-27,3.10013063e-15,3.47412534e+13,1.60258531e+12,9.86539649e-24,1.31717105e-11,1.23193011e-17,1.33514253e+12,1.19926598e+11,1.00000000e+00
10,5.12291336e-11,1.71717193e+03,7.78503620e-05,1.94831444e-27,3.11572410e-15,3.35194412e+13,1.59918955e+12,1.06565675e-23,1.44043905e-11,1.33087513e-17,1.35169139e+12,1.19926598e+11,1.00000000e+00
11,1.56567091e-11,5.72757267e+02,2.41963666e-05,1.95545507e-27,3.12335548e-15,3.65822258e+13,1.59725249e+12,2.80790934e-24,3.36384807e-12,3.50310303e-18,1.19799027e+12,1.19926598e+11,1.00000000e+00
12,8.37601923e-12,3.25040604e+02,1.31013558e-05,1.95800354e-27,3.12663292e-15,3.88060957e+13,1.59684743e+12,1.07441487e-24,1.40489295e-12,1.34141411e-18,1.30758888e+12,1.19926598e+11,1.00000000e+00
13,7.38467489e-12,3.03167394e+02,1.16904493e-05,1.95637883e-27,3.12482166e-15,4.10535871e+13,1.59724774e+12,1.27441388e-24,1.64823927e-12,1.59096124e-18,1.29333123e+12,1.19926598e+11,1.00000000e+00
14,4.76315911e-12,2.06106803e+02,7.62931515e-06,1.95396784e-27,3.12308608e-15,4.32710305e+13,1.59833034e+12,7.63849853e-25,7.49392674e-13,9.51572212e-19,9.81073271e+11,1.19926598e+11,1.00000000e+00
15,3.72562621e-12,1.73127713e+02,6.06776641e-06,1.95179240e-27,3.12375034e-15,4.64694264e+13,1.60045215e+12,7.23015718e-25,5.94944926e-13,8.99739906e-19,8.22865826e+11,1.19926598e+11,1.00000000e+00
16,4.26755969e-12,1.84159246e+02,6.83126712e-06,1.95058689e-27,3.12658574e-15,4.31532913e+13,1.60289488e+12,8.86129067e-25,8.56286295e-13,1.10379252e-18,9.66322319e+11,1.19926598e+11,1.00000000e+00
17,5.14410173e-12,2.02081790e+02,8.06685106e-06,1.95092991e-27,3.13187593e-15,3.92841745e+13,1.60532468e+12,6.10319952e-25,8.50957532e-13,7.62433883e-19,1.39428103e+12,1.19926598e+11,1.00000000e+00
18,3.25482730e-12,1.45820306e+02,5.25529244e-06,1.95029791e-27,3.13545251e-15,4.48012420e+13,1.60767875e+12,4.07265314e-25,4.80683256e-13,5.08036981e-19,1.18027055e+12,1.19926598e+11,1.00000000e+00
19,3.05506271e-12,1.41082477e+02,4.96820304e-06,1.94936362e-27,3.13704315e-15,4.61798958e+13,1.60926526e+12,4.13718745e-25,4.72546973e-13,5.15954615e-19,1.14219377e+12,1.19926598e+11,1.00000000e+00
20,2.22021302e-12,1.12735603e+02,3.69646649e-06,1.94708856e-27,3.13783667e-15,5.07769309e+13,1.61155313e+12,3.57685025e-25,3.38504705e-13,4.45484585e-19,9.46376507e+11,1.19926598e+11,1.00000000e+00
21,2.30590373e-12,1.12044713e+02,3.79669318e-06,1.94466447e-27,3.13897359e-15,4.85903692e+13,1.61414662e+12,2.88093655e-25,3.15201739e-13,3.59169111e-19,1.09409469e+12,1.19926598e+11,1.00000000e+00
22,3.58892386e-12,1.48574844e+02,5.69192328e-06,1.94391461e-27,3.13996098e-15,4.13981599e+13,1.61527722e+12,2.43801597e-25,5.03505999e-13,3.05942742e-19,2.06522847e+12,1.19926598e+11,1.00000000e+00
23,1.42033074e-12,8.30543204e+01,2.45676974e-06,1.94398008e-27,3.14117817e-15,5.84753380e+13,1.61584895e+12,1.23477466e-25,1.51108322e-13,1.54075319e-19,1.22377247e+12,1.19926598e+11,1.00000000e+00
24,1.05124271e-12,6.84647119e+01,1.87721514e-06,1.94398692e-27,3.14261306e-15,6.51274071e+13,1.61658138e+12,8.37722961e-26,9.99062211e-14,1.04509178e-19,1.19259261e+12,1.19926598e+11,1.00000000e+00
25,1.06556445e-12,6.49304287e+01,1.86518844e-06,1.94429282e-27,3.14511887e-15,6.09352428e+13,1.61761584e+12,9.10465527e-26,1.29280038e-13,1.13758325e-19,1.41993337e+12,1.19926598e+11,1.00000000e+00
26,2.84692481e-12,1.20354802e+02,4.53615702e-06,1.94404520e-27,3.14457418e-15,4.22753707e+13,1.61754170e+12,1.87056329e-25,3.70259437e-13,2.34598870e-19,1.97940074e+12,1.19926598e+11,1.00000000e+00
27,7.65409242e-13,5.11516563e+01,1.37776343e-06,1.94377497e-27,3.14405402e-15,6.68291596e+13,1.61749897e+12,6.83475200e-26,8.14784444e-14,8.52659015e-20,1.19211998e+12,1.19926598e+11,1.00000000e+00
28,7.12989110e-13,4.65503133e+01,1.27416168e-06,1.94362400e-27,3.14406552e-15,6.52889542e+13,1.61763053e+12,5.77941769e-26,7.32113961e-14,7.21365515e-20,1.26676077e+12,1.19926598e+11,1.00000000e+00
29,8.79597519e-13,4.96287698e+01,1.50625252e-06,1.94455450e-27,3.14601778e-15,5.64221347e+13,1.61786043e+12,7.10929301e-26,1.00887845e-13,8.88267254e-20,1.41909815e+12,1.19926598e+11,1.00000000e+00
30,3.85653794e-12,1.45598210e+02,5.99803986e-06,1.94493366e-27,3.14706916e-15,3.77536051e+13,1.61808560e+12,2.42383539e-25,5.39507422e-13,3.04490938e-19,2.22584183e+12,1.19926598e+11,1.00000000e+00
31,8.29674979e-13,5.23281505e+01,1.46719543e-06,1.94530358e-27,3.14782160e-15,6.30706624e+13,1.61816471e+12,6.60539956e-26,8.39240311e-14,8.24482508e-20,1.27053678e+12,1.19926598e+11,1.00000000e+00
32,5.76775113e-13,4.29899712e+01,1.07562765e-06,1.94620002e-27,3.14915122e-15,7.45350663e+13,1.61810255e+12,4.30711474e-26,4.86350968e-14,5.37099313e-20,1.12918043e+12,1.19926598e+11,1.00000000e+00
33,7.30541507e-13,4.69510003e+01,1.29925555e-06,1.94720709e-27,3.15005206e-15,6.42687649e+13,1.61772833e+12,6.55950067e-26,7.85628044e-14,8.18351239e-20,1.19769489e+12,1.19926598e+11,1.00000000e+00
34,1.46218831e-12,7.25863541e+01,2.42045428e-06,1.94860425e-27,3.15118429e-15,4.96422749e+13,1.61714944e+12,1.25521172e-25,1.98656657e-13,1.57004644e-19,1.58265458e+12,1.19926598e+11,1.00000000e+00
35,7.45679885e-13,5.03989794e+01,1.34701269e-06,1.94934198e-27,3.15136231e-15,6.75879562e+13,1.61662877e+12,6.72247251e-26,7.88126504e-14,8.38540036e-20,1.17237594e+12,1.19926598e+11,1.00000000e+00
36,5.49411039e-13,4.26060070e+01,1.03853258e-06,1.94956634e-27,3.15053648e-15,7.75485091e+13,1.61601912e+12,4.45392445e-26,4.82028679e-14,5.55230631e-20,1.08225608e+12,1.19926598e+11,1.00000000e+00
37,9.62386154e-13,5.38959683e+01,1.64462263e-06,1.94978507e-27,3.15063715e-15,5.60024353e+13,1.61588947e+12,8.19191883e-26,1.16150600e-13,1.02352694e-19,1.41786805e+12,1.19926598e+11,1.00000000e+00
38,6.28771810e-13,4.06005743e+01,1.11986079e-06,1.95023326e-27,3.15109869e-15,6.45712382e+13,1.61575476e+12,7.23419252e-26,7.28681116e-14,9.01365004e-20,1.00727360e+12,1.19926598e+11,1.00000000e+00
39,5.50103037e-13,3.58090218e+01,9.82175251e-07,1.95121040e-27,3.15190575e-15,6.50951175e+13,1.61535924e+12,5.57750533e-26,6.51542834e-14,6.95700652e-20,1.16816174e+12,1.19926598e+11,1.00000000e+00
40,1.00680704e-12,5.26931718e+01,1.68946892e-06,1.95198377e-27,3.15255142e-15,5.23369126e+13,1.61505001e+12,7.36304348e-26,1.26780187e-13,9.21848364e-20,1.72184488e+12,1.19926598e+11,1.00000000e+00
41,7.24513989e-13,4.62428172e+01,1.28583536e-06,1.95357354e-27,3.15359842e-15,6.38259825e+13,1.61427167e+12,5.85373845e-26,7.35438922e-14,7.30590697e-20,1.25635767e+12,1.19926598e+11,1.00000000e+00
42,7.54673717e-13,5.21121005e+01,1.37256277e-06,1.95425849e-27,3.15385393e-15,6.90524916e+13,1.61383663e+12,6.20664769e-26,6.81988339e-14,7.73813295e-20,1.09880305e+12,1.19926598e+11,1.00000000e+00
43,6.92899564e-13,4.96827182e+01,1.27566791e-06,1.95524761e-27,3.15420216e-15,7.17026258e+13,1.61319833e+12,6.95419318e-26,7.93031071e-14,8.67256752e-20,1.14036388e+12,1.19926598e+11,1.00000000e+00
44,5.89121724e-13,4.52309832e+01,1.10977032e-06,1.95588506e-27,3.15420780e-15,7.67769738e+13,1.61267544e+12,5.58161559e-26,5.85761308e-14,6.95655580e-20,1.04944760e+12,1.19926598e+11,1.00000000e+00
45,5.90436813e-13,4.36940038e+01,1.09846020e-06,1.95641870e-27,3.15413783e-15,7.40028448e+13,1.61219979e+12,6.96277256e-26,8.33729816e-14,8.68661033e-20,1.19741067e+12,1.19926598e+11,1.00000000e+00
46,5.19950908e-13,4.03320491e+01,9.82934612e-07,1.95671143e-27,3.15397424e-15,7.75689561e+13,1.61187500e+12,5.67932684e-26,5.37767876e-14,7.07343362e-20,9.46886650e+11,1.19926598e+11,1.00000000e+00
47,4.91579036e-13,3.80445046e+01,9.28568995e-07,1.95703934e-27,3.15382043e-15,7.73924472e+13,1.61152633e+12,5.20369663e-26,4.71268874e-14,6.47924368e-20,9.05642482e+11,1.19926598e+11,1.00000000e+00
48,6.35734564e-13,4.24739982e+01,1.14424676e-06,1.95726444e-27,3.15366515e-15,6.68108997e+13,1.61126166e+12,5.82115994e-26,6.19277149e-14,7.25581314e-20,1.06383806e+12,1.19926598e+11,1.00000000e+00
49,4.59748632e-13,3.56711203e+01,8.69200887e-07,1.95733691e-27,3.15333564e-15,7.75883121e+13,1.61103366e+12,4.74894270e-26,3.99854961e-14,5.91047441e-20,8.41987336e+11,1.19926598e+11,1.00000000e+00
50,4.65335915e-13,3.47481183e+01,8.68345773e-07,1.95780947e-27,3.15357440e-15,7.46731923e+13,1.61076675e+12,4.64131391e-26,4.55781240e-14,5.78199139e-20,9.82009079e+11,1.19926598e+11,1.00000000e+00
51,4.45591900e-13,3.44016655e+01,8.40996284e-07,1.95792839e-27,3.15332609e-15,7.72044229e+13,1.61054210e+12,4.97453484e-26,4.62437519e-14,6.19491259e-20,9.29609569e+11,1.19926598e+11,1.00000000e+00
52,4.09404081e-13,3.29672429e+01,7.84139594e-07,1.95841775e-27,3.15353701e-15,8.05249494e+13,1.61024736e+12,4.41886132e-26,3.70022563e-14,5.49948757e-20,8.37370843e+11,1.19926598e+11,1.00000000e+00
53,5.12545734e-13,3.65745931e+01,9.42142291e-07,1.95869403e-27,3.15327188e-15,7.13586919e+13,1.60988487e+12,4.87937733e-26,5.00288279e-14,6.08034126e-20,1.02531173e+12,1.19926598e+11,1.00000000e+00
54,4.33318801e-13,3.45783666e+01,8.27295708e-07,1.95915107e-27,3.15342076e-15,7.97989067e+13,1.60958530e+12,4.22676259e-26,3.51733319e-14,5.26022590e-20,8.32157735e+11,1.19926598e+11,1.00000000e+00
55,4.37555280e-13,3.50764601e+01,8.36731058e-07,1.95952622e-27,3.15326189e-15,8.01646368e+13,1.60919607e+12,4.26948052e-26,3.75951640e-14,5.31512791e-20,8.80555932e+11,1.19926598e+11,1.00000000e+00
56,4.40622056e-13,3.54487548e+01,8.43659986e-07,1.95988150e-27,3.15326021e-15,8.04516123e+13,1.60890351e+12,3.95542773e-26,3.72465768e-14,4.92619416e-20,9.41657371e+11,1.19926598e+11,1.00000000e+00
57,3.36727808e-13,3.09406773e+01,6.77144074e-07,1.96032970e-27,3.15341373e-15,9.18863147e+13,1.60861396e+12,3.51731062e-26,2.73391294e-14,4.37568462e-20,7.77273672e+11,1.19926598e+11,1.00000000e+00
58,3.60859530e-13,3.00683919e+01,6.99664610e-07,1.96058517e-27,3.15328495e-15,8.33243670e+13,1.60833867e+12,3.76555325e-26,3.50223442e-14,4.68935224e-20,9.30071674e+11,1.19926598e+11,1.00000000e+00
59,2.88801228e-13,2.61257740e+01,5.77305442e-07,1.96090714e-27,3.15340352e-15,9.04628219e+13,1.60813506e+12,3.10698601e-26,2.41823264e-14,3.86525068e-20,7.78321060e+11,1.19926598e+11,1.00000000e+00
60,3.22737398e-13,2.60530503e+01,6.18689300e-07,1.96114780e-27,3.15336849e-15,8.07252289e+13,1.60791985e+12,3.13698037e-26,2.98845725e-14,3.90716857e-20,9.52654113e+11,1.19926598e+11,1.00000000e+00
61,3.01691557e-13,2.48979976e+01,5.82922406e-07,1.96144048e-27,3.15349796e-15,8.25279895e+13,1.60774593e+12,2.79546179e-26,2.54840467e-14,3.48083518e-20,9.11622075e+11,1.19926598e+11,1.00000000e+00
62,2.89461834e-13,2.42161451e+01,5.62048625e-07,1.96171268e-27,3.15363072e-15,8.36591988e+13,1.60759052e+12,2.49975348e-26,2.39672648e-14,3.11361939e-20,9.58785137e+11,1.19926598e+11,1.00000000e+00
63,3.07874764e-13,2.51360414e+01,5.92577861e-07,1.96213122e-27,3.15376974e-15,8.16437210e+13,1.60731846e+12,2.40269759e-26,2.53971166e-14,2.99471631e-20,1.05702510e+12,1.19926598e+11,1.00000000e+00
64,3.66073544e-13,2.84603955e+01,6.92581629e-07,1.96255141e-27,3.15433310e-15,7.77450213e+13,1.60726138e+12,2.60564373e-26,3.21679118e-14,3.25156149e-20,1.23454759e+12,1.19926598e+11,1.00000000e+00
65,5.57966013e-13,3.40212670e+01,9.76857242e-07,1.96239052e-27,3.15428064e-15,6.09737263e+13,1.60736643e+12,3.50411623e-26,5.58850678e-14,4.38338514e-20,1.59484059e+12,1.19926598e+11,1.00000000e+00
66,2.45779580e-13,1.83226764e+01,4.58383513e-07,1.96220325e-27,3.15420927e-15,7.45492217e+13,1.60748346e+12,2.06336521e-26,2.21935016e-14,2.57209585e-20,1.07559735e+12,1.19926598e+11,1.00000000e+00
67,1.71883364e-13,1.25040246e+01,3.17958395e-07,1.96223765e-27,3.15421175e-15,7.27471483e+13,1.60745654e+12,1.56202157e-26,1.59618559e-14,1.94643760e-20,1.02187167e+12,1.19926598e+11,1.00000000e+00
68,1.38006599e-13,1.09023794e+01,2.62554037e-07,1.96256678e-27,3.15438493e-15,7.89989720e+13,1.60727521e+12,1.45450174e-26,1.33070315e-14,1.81114711e-20,9.14885907e+11,1.19926598e+11,1.00000000e+00
69,1.55776777e-13,1.15343784e+01,2.89864488e-07,1.96271986e-27,3.15425095e-15,7.40442742e+13,1.60708158e+12,1.54628535e-26,1.64370555e-14,1.92736402e-20,1.06300273e+12,1.19926598e+11,1.00000000e+00
70,1.92636474e-13,1.21153360e+01,3.40368579e-07,1.96382718e-27,3.15482570e-15,6.28922224e+13,1.60646809e+12,1.92781783e-26,2.69294089e-14,2.40834241e-20,1.39688556e+12,1.19926598e+11,1.00000000e+00
71,1.15356731e-13,1.04941586e+01,2.31088623e-07,1.96413546e-27,3.15493263e-15,9.09713585e+13,1.60627039e+12,1.38671165e-26,1.01338011e-14,1.72458580e-20,7.30779258e+11,1.19926598e+11,1.00000000e+00
72,1.69761055e-13,1.20707902e+01,3.11685284e-07,1.96481696e-27,3.15532329e-15,7.11045895e+13,1.60591208e+12,1.57690071e-26,1.69755431e-14,1.96570381e-20,1.07651313e+12,1.19926598e+11,1.00000000e+00
