iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.00000000e+00,1.00000000e+00
1,1.11490017e-07,2.14531881e+07,3.66228989e-01,1.36516186e-24,8.14684756e-15,1.92422502e+14,5.96767886e+09,2.84775068e-17,1.85554331e-07,7.05957573e-11,6.51582080e+09,1.00000000e+00,1.00000000e+00
2,2.12547950e-09,4.24311265e+05,7.04638359e-03,1.43868998e-24,8.54877617e-15,1.99630843e+14,5.94205583e+09,5.89588065e-19,3.72448121e-09,1.46163734e-12,6.31709056e+09,1.00000000e+00,1.00000000e+00
3,1.28697963e-09,2.94994394e+05,4.42683349e-03,1.62023617e-24,9.61218857e-15,2.29214501e+14,5.93258487e+09,6.71288578e-19,3.23433845e-09,1.66424037e-12,4.81810440e+09,1.00000000e+00,1.00000000e+00
4,3.95782186e-10,7.52442807e+04,1.29624559e-03,1.72992560e-24,1.02694743e-14,1.90115380e+14,5.93636760e+09,1.14933604e-19,7.35017286e-10,2.84930075e-13,6.39514691e+09,1.00000000e+00,1.00000000e+00
5,1.42637789e-10,2.72239460e+04,4.67607425e-04,1.78852994e-24,1.06563423e-14,1.90860685e+14,5.95815708e+09,3.79324687e-20,2.45059564e-10,9.40378120e-14,6.46041695e+09,1.00000000e+00,1.00000000e+00
6,5.70448047e-11,1.19115910e+04,1.91318850e-04,1.80561105e-24,1.07745026e-14,2.08811146e+14,5.96723340e+09,2.43948821e-20,1.20955216e-10,6.04780406e-14,4.95822096e+09,1.00000000e+00,1.00000000e+00
7,4.32250045e-11,9.36702375e+03,1.46405387e-04,1.80089387e-24,1.07465533e-14,2.16703824e+14,5.96734407e+09,3.59752381e-20,1.36987101e-10,8.91890924e-14,3.80781639e+09,1.00000000e+00,1.00000000e+00
8,1.76480015e-11,3.19235421e+03,5.71146380e-05,1.79914680e-24,1.07337915e-14,1.80890409e+14,5.96604539e+09,4.63086336e-21,2.77450056e-11,1.14800716e-14,5.99132460e+09,1.00000000e+00,1.00000000e+00
9,9.76174568e-12,1.80856235e+03,3.17721149e-05,1.80725914e-24,1.07890677e-14,1.85270382e+14,5.96985096e+09,3.17186309e-21,1.65713273e-11,7.86329947e-15,5.22447748e+09,1.00000000e+00,1.00000000e+00
10,5.17830571e-12,9.29186486e+02,1.67270242e-05,1.81910689e-24,1.08643777e-14,1.79438322e+14,5.97236904e+09,2.11188751e-21,9.52821964e-12,5.23563357e-15,4.51170794e+09,1.00000000e+00,1.00000000e+00
11,8.95865370e-12,2.05023301e+03,3.08015947e-05,1.82092001e-24,1.08837636e-14,2.28855035e+14,5.97706849e+09,1.62022770e-20,3.21745469e-11,4.01602218e-14,1.98580402e+09,1.00000000e+00,1.00000000e+00
12,1.63042656e-12,2.48911660e+02,5.08291373e-06,1.82036291e-24,1.08823331e-14,1.52666588e+14,5.97811185e+09,1.23898295e-20,2.00000317e-12,3.07041567e-14,1.61422977e+08,1.00000000e+00,1.00000000e+00
13,1.22670248e-12,1.76671972e+02,3.77965754e-06,1.82410455e-24,1.08784212e-14,1.44021860e+14,5.96370490e+09,6.20259140e-21,1.15724175e-12,1.53711288e-14,1.86573913e+08,1.00000000e+00,1.00000000e+00
14,9.59744048e-13,1.50022166e+02,3.00677294e-06,2.89567294e-24,1.08922408e-14,1.56314766e+14,3.76155767e+09,1.47595400e-18,1.12935517e-12,3.65762796e-12,7.65169629e+05,1.00000000e+00,1.00000000e+00
