iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.00000000e+00,1.00000000e+00
1,3.59213823e-08,1.93619192e+07,1.87684504e-01,8.88679895e-28,4.36057436e-13,5.39008190e+14,4.90679984e+14,3.59213823e-08,1.93619192e+07,1.87684504e-01,5.39008190e+14,1.00000000e+00,1.00000000e+00
2,2.74270310e-08,1.49871760e+07,1.43874413e-01,8.61146871e-28,4.22086727e-13,5.46438146e+14,4.90144877e+14,2.74270310e-08,1.49871760e+07,1.43874413e-01,5.46438146e+14,1.00000000e+00,1.00000000e+00
3,6.59528543e-09,4.28871260e+06,3.65184220e-02,8.70664213e-28,4.26376106e-13,6.50269446e+14,4.89713600e+14,6.59528543e-09,4.28871260e+06,3.65184220e-02,6.50269446e+14,1.00000000e+00,1.00000000e+00
4,1.61964644e-09,6.29507159e+05,7.77923136e-03,9.06889414e-28,4.43425481e-13,3.88669491e+14,4.88952097e+14,1.61964644e-09,6.29507159e+05,7.77923136e-03,3.88669491e+14,1.00000000e+00,1.00000000e+00
5,1.96663593e-09,1.17555107e+06,1.05995396e-02,9.65946366e-28,4.71404696e-13,5.97747172e+14,4.88023675e+14,1.96663593e-09,1.17555107e+06,1.05995396e-02,5.97747172e+14,1.00000000e+00,1.00000000e+00
6,2.73207457e-09,1.73329598e+06,1.50061713e-02,1.06497411e-27,5.17991490e-13,6.34424844e+14,4.86388810e+14,2.73207457e-09,1.73329598e+06,1.50061713e-02,6.34424844e+14,1.00000000e+00,1.00000000e+00
7,8.69592827e-09,4.84397226e+06,4.58750261e-02,1.14042391e-27,5.53276450e-13,5.57039123e+14,4.85149815e+14,8.69592827e-09,4.84397226e+06,4.58750261e-02,5.57039123e+14,1.00000000e+00,1.00000000e+00
8,2.19191158e-09,1.28398782e+06,1.17401311e-02,1.13581369e-27,5.50529528e-13,5.85784496e+14,4.84700559e+14,2.19191158e-09,1.28398782e+06,1.17401311e-02,5.85784496e+14,1.00000000e+00,1.00000000e+00
9,1.45928537e-09,6.92867793e+05,7.36167042e-03,1.11920044e-27,5.41487309e-13,4.74799383e+14,4.83816203e+14,1.45928537e-09,6.92867793e+05,7.36167042e-03,4.74799383e+14,1.00000000e+00,1.00000000e+00
10,2.61899179e-09,1.62589841e+06,1.42850115e-02,1.12882679e-27,5.44950114e-13,6.20810805e+14,4.82757957e+14,2.61899179e-09,1.62589841e+06,1.42850115e-02,6.20810805e+14,1.00000000e+00,1.00000000e+00
11,4.98591366e-09,3.74193809e+06,2.90094696e-02,1.13074085e-27,5.45548451e-13,7.50501983e+14,4.82469924e+14,4.98591366e-09,3.74193809e+06,2.90094696e-02,7.50501983e+14,1.00000000e+00,1.00000000e+00
12,6.25367246e-10,3.90279188e+05,3.41673535e-03,1.13583431e-27,5.47848857e-13,6.24079995e+14,4.82331666e+14,6.25367246e-10,3.90279188e+05,3.41673535e-03,6.24079995e+14,1.00000000e+00,1.00000000e+00
13,3.01739483e-10,1.35818447e+05,1.50129214e-03,1.14345034e-27,5.51285328e-13,4.50118246e+14,4.82124415e+14,3.01739483e-10,1.35818447e+05,1.50129214e-03,4.50118246e+14,1.00000000e+00,1.00000000e+00
14,5.28896930e-10,3.37377472e+05,2.91015576e-03,1.15751402e-27,5.57594427e-13,6.37888883e+14,4.81717212e+14,5.28896930e-10,3.37377472e+05,2.91015576e-03,6.37888883e+14,1.00000000e+00,1.00000000e+00
15,7.23425935e-10,5.16157534e+05,4.13397225e-03,1.17610852e-27,5.65776630e-13,7.13490502e+14,4.81058184e+14,7.23425935e-10,5.16157534e+05,4.13397225e-03,7.13490502e+14,1.00000000e+00,1.00000000e+00
16,1.20890490e-09,8.41651051e+05,6.84959439e-03,1.19628131e-27,5.74622873e-13,6.96209477e+14,4.80340925e+14,1.20890490e-09,8.41651051e+05,6.84959439e-03,6.96209477e+14,1.00000000e+00,1.00000000e+00
17,4.66949700e-10,2.68637920e+05,2.48730474e-03,1.19152236e-27,5.72403659e-13,5.75303764e+14,4.80396907e+14,4.66949700e-10,2.68637920e+05,2.48730474e-03,5.75303764e+14,1.00000000e+00,1.00000000e+00
18,1.68323126e-10,6.20236097e+04,7.98927692e-04,1.18765568e-27,5.70473200e-13,3.68479430e+14,4.80335511e+14,1.68323126e-10,6.20236097e+04,7.98927692e-04,3.68479430e+14,1.00000000e+00,1.00000000e+00
19,2.59029232e-10,1.66226505e+05,1.42805036e-03,1.19028459e-27,5.71421885e-13,6.41728747e+14,4.80071647e+14,2.59029232e-10,1.66226505e+05,1.42805036e-03,6.41728747e+14,1.00000000e+00,1.00000000e+00
20,3.48704087e-10,2.36194110e+05,1.95728589e-03,1.20024192e-27,5.75426036e-13,6.77348271e+14,4.79425047e+14,3.48704087e-10,2.36194110e+05,1.95728589e-03,6.77348271e+14,1.00000000e+00,1.00000000e+00
21,4.41120157e-10,2.82968251e+05,2.43162113e-03,1.20762989e-27,5.78698274e-13,6.41476583e+14,4.79201683e+14,4.41120157e-10,2.82968251e+05,2.43162113e-03,6.41476583e+14,1.00000000e+00,1.00000000e+00
22,1.27481325e-10,5.46482692e+04,6.26608506e-04,1.21232898e-27,5.80841199e-13,4.28676666e+14,4.79111866e+14,1.27481325e-10,5.46482692e+04,6.26608506e-04,4.28676666e+14,1.00000000e+00,1.00000000e+00
23,1.04261390e-10,5.89057703e+04,5.52350351e-04,1.21688454e-27,5.82878538e-13,5.64981629e+14,4.78992476e+14,1.04261390e-10,5.89057703e+04,5.52350351e-04,5.64981629e+14,1.00000000e+00,1.00000000e+00
24,1.14040550e-10,7.69995652e+04,6.39423703e-04,1.22250149e-27,5.85277635e-13,6.75194617e+14,4.78754129e+14,1.14040550e-10,7.69995652e+04,6.39423703e-04,6.75194617e+14,1.00000000e+00,1.00000000e+00
25,3.32904474e-10,2.22390588e+05,1.85989941e-03,1.22445809e-27,5.86083582e-13,6.68031239e+14,4.78647319e+14,3.32904474e-10,2.22390588e+05,1.85989941e-03,6.68031239e+14,1.00000000e+00,1.00000000e+00
26,7.47066686e-11,3.32540863e+04,3.70654024e-04,1.22418680e-27,5.85918657e-13,4.45128754e+14,4.78618669e+14,7.47066686e-11,3.32540863e+04,3.70654024e-04,4.45128754e+14,1.00000000e+00,1.00000000e+00
27,5.06101593e-11,2.22380039e+04,2.50286412e-04,1.22475346e-27,5.86135271e-13,4.39398023e+14,4.78574089e+14,5.06101593e-11,2.22380039e+04,2.50286412e-04,4.39398023e+14,1.00000000e+00,1.00000000e+00
28,7.87634869e-11,4.88434011e+04,4.29456025e-04,1.22901800e-27,5.88063184e-13,6.20127461e+14,4.78482158e+14,7.87634869e-11,4.88434011e+04,4.29456025e-04,6.20127461e+14,1.00000000e+00,1.00000000e+00
