iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.19981638e+11,1.00000000e+00
1,6.27354489e-04,7.10040003e+10,1.85154075e+03,3.10874691e-27,3.24897259e-15,1.13180031e+14,1.04510682e+12,1.94190362e-16,2.19772450e-04,4.81546115e-10,1.13173717e+12,1.19981638e+11,1.00000000e+00
2,3.52907246e-04,4.21299793e+10,1.05076016e+03,3.15746420e-27,3.26518179e-15,1.19379752e+14,1.03411522e+12,9.43086326e-17,1.23351989e-04,2.33933024e-10,1.30796074e+12,1.19981638e+11,1.00000000e+00
3,4.79027762e-04,5.38273212e+10,1.41213967e+03,3.13990247e-27,3.26127817e-15,1.12367853e+14,1.03865588e+12,1.07581463e-16,1.32505705e-04,2.66821805e-10,1.23167785e+12,1.19981638e+11,1.00000000e+00
4,9.37995827e-05,1.19707930e+10,2.82536092e+02,3.16118509e-27,3.26818255e-15,1.27620962e+14,1.03384726e+12,2.11097904e-17,2.46981666e-05,5.23506798e-11,1.16998635e+12,1.19981638e+11,1.00000000e+00
5,1.02460724e-04,1.26410148e+10,3.06793215e+02,3.15525399e-27,3.26458315e-15,1.23374249e+14,1.03464988e+12,2.65858596e-17,2.73737921e-05,6.59152121e-11,1.02963728e+12,1.19981638e+11,1.00000000e+00
6,9.11918117e-05,1.16737534e+10,2.74831693e+02,3.16022179e-27,3.26746057e-15,1.28013176e+14,1.03393394e+12,1.47749134e-17,1.86277908e-05,3.66463104e-11,1.26077157e+12,1.19981638e+11,1.00000000e+00
7,3.93828372e-04,4.85857669e+10,1.17921077e+03,3.15843790e-27,3.26657923e-15,1.23367869e+14,1.03423887e+12,8.89765662e-17,8.53133793e-05,2.20576064e-10,9.58829757e+11,1.19981638e+11,1.00000000e+00
8,3.80610934e-05,5.96766664e+09,1.19317648e+02,3.17609726e-27,3.27098271e-15,1.56791781e+14,1.02987486e+12,1.09684601e-17,8.17535900e-06,2.71813468e-11,7.45351574e+11,1.19981638e+11,1.00000000e+00
9,3.71367135e-04,4.78044892e+10,1.12033100e+03,3.16861004e-27,3.26887726e-15,1.28725686e+14,1.03164391e+12,6.38402076e-17,7.32746531e-05,1.58312909e-10,1.14778219e+12,1.19981638e+11,1.00000000e+00
10,2.43305562e-05,4.46515750e+09,7.90108769e+01,3.17297488e-27,3.27074631e-15,1.83520569e+14,1.03081381e+12,7.25141597e-18,4.24189758e-06,1.79651076e-11,5.84975072e+11,1.19981638e+11,1.00000000e+00
11,6.48112727e-04,1.04850947e+11,2.04537086e+03,3.17051072e-27,3.26937481e-15,1.61778874e+14,1.03118239e+12,1.39944949e-16,1.12236404e-04,3.46836123e-10,8.02003968e+11,1.19981638e+11,1.00000000e+00
12,9.99211412e-05,1.73094992e+10,3.20156252e+02,3.17157759e-27,3.27006237e-15,1.73231601e+14,1.03105230e+12,2.53575142e-17,1.82835822e-05,6.28367988e-11,7.21032118e+11,1.19981638e+11,1.00000000e+00
