iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.00000000e+00,1.00000000e+00
1,5.81073398e-01,1.19550780e+14,1.94131651e+06,5.28802628e-28,9.71580359e-14,2.05741273e+14,1.83732135e+14,5.81073398e-01,1.19550780e+14,1.94131651e+06,2.05741273e+14,1.00000000e+00,1.00000000e+00
2,5.58694682e-01,1.32584325e+14,1.94078417e+06,5.37875793e-28,9.91748959e-14,2.37310876e+14,1.84382523e+14,5.58694682e-01,1.32584325e+14,1.94078417e+06,2.37310876e+14,1.00000000e+00,1.00000000e+00
3,4.26319875e-01,8.77867947e+13,1.42461473e+06,5.39738291e-28,9.96119718e-14,2.05917669e+14,1.84556059e+14,4.26319875e-01,8.77867947e+13,1.42461473e+06,2.05917669e+14,1.00000000e+00,1.00000000e+00
4,4.53600668e-01,1.03136899e+14,1.55673951e+06,5.40462951e-28,9.97872089e-14,2.27373782e+14,1.84632839e+14,4.53600668e-01,1.03136899e+14,1.55673951e+06,2.27373782e+14,1.00000000e+00,1.00000000e+00
5,3.89571196e-01,8.87207029e+13,1.33759234e+06,5.40673598e-28,9.98362549e-14,2.27739381e+14,1.84651618e+14,3.89571196e-01,8.87207029e+13,1.33759234e+06,2.27739381e+14,1.00000000e+00,1.00000000e+00
6,1.19865271e-01,3.02286418e+13,4.23891468e+05,5.40801085e-28,9.98643659e-14,2.52188491e+14,1.84660069e+14,1.19865271e-01,3.02286418e+13,4.23891468e+05,2.52188491e+14,1.00000000e+00,1.00000000e+00
7,1.72872415e-01,3.36623211e+13,5.69535663e+05,5.40767711e-28,9.98559861e-14,1.94723497e+14,1.84655970e+14,1.72872415e-01,3.36623211e+13,5.69535663e+05,1.94723497e+14,1.00000000e+00,1.00000000e+00
8,1.51379474e-01,4.11363728e+13,5.47797080e+05,5.40834211e-28,9.98662158e-14,2.71743399e+14,1.84652179e+14,1.51379474e-01,4.11363728e+13,5.47797080e+05,2.71743399e+14,1.00000000e+00,1.00000000e+00
9,2.40486016e-01,5.23066396e+13,8.15348680e+05,5.40787820e-28,9.98563951e-14,2.17503871e+14,1.84649860e+14,2.40486016e-01,5.23066396e+13,8.15348680e+05,2.17503871e+14,1.00000000e+00,1.00000000e+00
10,5.47454000e-02,1.49642525e+13,1.98475725e+05,5.40858163e-28,9.98673348e-14,2.73342646e+14,1.84646071e+14,5.47454000e-02,1.49642525e+13,1.98475725e+05,2.73342646e+14,1.00000000e+00,1.00000000e+00
