iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.19926598e+15,1.00000000e+00
1,9.13855459e-01,6.25864676e+13,1.65771825e+06,7.67771349e-28,6.28007183e-14,6.84861780e+13,8.17961213e+13,1.90443288e-18,1.63917707e-04,3.73651436e-12,8.60716640e+13,1.19926598e+15,1.00000000e+00
2,8.18500554e-01,5.75952607e+13,1.49770303e+06,7.78498659e-28,6.38658499e-14,7.03667950e+13,8.20371996e+13,1.72589139e-18,1.48193323e-04,3.38320914e-12,8.58648026e+13,1.19926598e+15,1.00000000e+00
3,5.12371792e-01,4.29021128e+13,9.95188989e+05,7.79827818e-28,6.40030132e-14,8.37323863e+13,8.20732624e+13,1.19129526e-18,1.18067972e-04,2.46806603e-12,9.91089072e+13,1.19926598e+15,1.00000000e+00
4,4.07822715e-01,3.73172125e+13,8.18798560e+05,7.80638161e-28,6.40775171e-14,9.15035164e+13,8.20835060e+13,9.96699332e-19,1.02214999e-04,2.09381103e-12,1.02553494e+14,1.19926598e+15,1.00000000e+00
5,1.97274050e-01,1.97407606e+13,4.10294656e+05,7.80432910e-28,6.40553812e-14,1.00067700e+14,8.20767300e+13,5.10589602e-19,5.68353282e-05,1.11026649e-12,1.11313133e+14,1.19926598e+15,1.00000000e+00
6,2.75870941e-01,2.12966089e+13,5.20654674e+05,7.80739030e-28,6.40763911e-14,7.71977246e+13,8.20714588e+13,6.10291893e-19,5.47635073e-05,1.21620850e-12,8.97333029e+13,1.19926598e+15,1.00000000e+00
7,1.80109458e-01,1.61913649e+13,3.59176405e+05,7.80580570e-28,6.40597160e-14,8.98973605e+13,8.20667570e+13,4.37267766e-19,4.62505928e-05,9.30433616e-13,1.05771787e+14,1.19926598e+15,1.00000000e+00
8,3.05832408e-01,2.64533560e+13,6.01138952e+05,7.80793087e-28,6.40747476e-14,8.64962489e+13,8.20636717e+13,7.21005556e-19,6.91988772e-05,1.47472651e-12,9.59755117e+13,1.19926598e+15,1.00000000e+00
9,1.51999365e-01,1.28916724e+13,2.96614976e+05,7.80681038e-28,6.40633002e-14,8.48139886e+13,8.20607868e+13,3.56920426e-19,3.67680007e-05,7.51183982e-13,1.03014560e+14,1.19926598e+15,1.00000000e+00
10,1.44977336e-01,1.56443321e+13,3.11095750e+05,7.80843437e-28,6.40748603e-14,1.07908812e+14,8.20585244e+13,3.94560526e-19,4.70198977e-05,8.84059035e-13,1.19170304e+14,1.19926598e+15,1.00000000e+00
11,1.78383818e-01,1.48568619e+13,3.45807735e+05,7.80755265e-28,6.40661329e-14,8.32859284e+13,8.20566133e+13,4.13294286e-19,4.07770035e-05,8.54692449e-13,9.86633615e+13,1.19926598e+15,1.00000000e+00
12,1.00677065e-01,1.06206738e+13,2.13987479e+05,7.80885995e-28,6.40755429e-14,1.05492486e+14,8.20549264e+13,2.70611495e-19,3.25834364e-05,6.09153076e-13,1.20406697e+14,1.19926598e+15,1.00000000e+00
13,1.63991696e-01,1.38774485e+13,3.19753263e+05,7.80813470e-28,6.40685291e-14,8.46228736e+13,8.20535653e+13,3.84522674e-19,3.94696759e-05,8.08083138e-13,1.02645900e+14,1.19926598e+15,1.00000000e+00
14,1.91106661e-01,1.90006966e+13,3.96433017e+05,7.80918431e-28,6.40762459e-14,9.94245650e+13,8.20524185e+13,4.93398623e-19,5.56174525e-05,1.07874117e-12,1.12723161e+14,1.19926598e+15,1.00000000e+00
15,2.12260121e-01,2.18216325e+13,4.46355675e+05,7.80859115e-28,6.40705496e-14,1.02806087e+14,8.20513565e+13,5.59027222e-19,6.36930543e-05,1.22793301e-12,1.13935515e+14,1.19926598e+15,1.00000000e+00
16,1.81852658e-01,1.64898618e+13,3.63846214e+05,7.80946636e-28,6.40770500e-14,9.06770459e+13,8.20504847e+13,4.44495920e-19,4.80973065e-05,9.54923183e-13,1.08206407e+14,1.19926598e+15,1.00000000e+00
17,1.65858459e-01,1.54562836e+13,3.35353240e+05,7.80896384e-28,6.40722917e-14,9.31896009e+13,8.20496714e+13,4.11690283e-19,4.48642870e-05,8.87112239e-13,1.08975822e+14,1.19926598e+15,1.00000000e+00
18,2.01118808e-01,1.93969256e+13,4.12158309e+05,7.80971368e-28,6.40778926e-14,9.64451102e+13,8.20489652e+13,5.09960369e-19,5.69313400e-05,1.11029599e-12,1.11638754e+14,1.19926598e+15,1.00000000e+00
19,1.71607932e-01,1.69189275e+13,3.54780031e+05,7.80928348e-28,6.40738552e-14,9.85905910e+13,8.20483152e+13,4.41259768e-19,5.01743598e-05,9.68402060e-13,1.13707080e+14,1.19926598e+15,1.00000000e+00
20,1.88073027e-01,1.83527551e+13,3.87224841e+05,7.80993492e-28,6.40787480e-14,9.75831327e+13,8.20477362e+13,4.81377014e-19,5.53724020e-05,1.06180171e-12,1.15029178e+14,1.19926598e+15,1.00000000e+00
21,1.75902184e-01,1.71785922e+13,3.62279897e+05,7.80956206e-28,6.40752773e-14,9.76599142e+13,8.20472094e+13,4.48658961e-19,4.96673655e-05,9.73290932e-13,1.10701824e+14,1.19926598e+15,1.00000000e+00
