p= 0 | CubeHexMesh: Building sub cells
[MetricOpStats] ParamMass_M  (rows=9512)
  row_sum       min=2.0202e-07  max=0.00396  mean=0.00131916  max/|min|=19602
  |row_sum|     min=2.0202e-07  max=0.00396  mean=0.00131916  max/min=19602
  diag          min=8.97868e-08  max=0.00176  mean=0.000586293  nonpos=0
  max_abs_entry=0.00176
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=3.64318e-16 e[2]=0 e[3]=0 e[4]=0 e[5]=6.2616e-17 e[6]=1.27686e-16 e[7]=0 e[8]=0 e[9]=1.12959e-16 e[10]=3.33067e-16 e[11]=0 e[12]=0
MrHyDE vector contract check: max_primal_err=0 max_dual_err=3.64318e-16 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.239900e-11   1.254019e+00   ---            ---            1         1         ---       ---       
  1     2.029215e-12   5.126944e-01   4.119701e-11   3.285197e-11   14        2         12        0         
  2     4.664638e-13   2.279922e-01   1.014104e-11   1.000000e+00   16        3         1         0         
  3     4.131545e-13   2.805895e-01   1.471030e-12   2.385777e-01   19        4         2         0         
  4     3.210583e-13   1.351626e-01   1.803195e-12   1.000000e+00   21        5         1         0         
  5     2.530091e-13   1.124476e-01   2.037898e-12   1.000000e+00   23        6         1         0         
  6     1.961636e-13   3.280666e-01   3.550056e-12   1.000000e+00   25        7         1         0         
  7     1.273930e-13   1.227479e-01   2.190700e-12   1.000000e+00   27        8         1         0         
  8     9.837263e-14   7.644009e-02   8.280850e-13   1.000000e+00   29        9         1         0         
  9     7.417807e-14   1.081728e-01   1.863903e-12   1.000000e+00   31        10        1         0         
  10    6.451696e-14   8.620079e-02   7.294044e-13   4.350262e-01   34        11        2         0         
  11    5.770682e-14   6.226926e-02   3.219168e-13   1.000000e+00   36        12        1         0         
  12    4.402237e-14   5.121055e-02   1.071357e-12   1.000000e+00   38        13        1         0         
  13    3.741122e-14   9.204529e-02   9.750622e-13   1.000000e+00   40        14        1         0         
  14    2.962500e-14   5.358204e-02   7.655839e-13   1.000000e+00   42        15        1         0         
  15    2.370967e-14   4.349516e-02   7.689459e-13   1.000000e+00   44        16        1         0         
  16    2.026093e-14   4.656267e-02   5.392578e-13   1.000000e+00   46        17        1         0         
  17    1.711917e-14   3.422328e-02   4.440629e-13   1.000000e+00   48        18        1         0         
  18    1.533460e-14   4.900403e-02   5.417320e-13   1.000000e+00   50        19        1         0         
  19    1.353726e-14   2.650969e-02   1.560726e-13   1.000000e+00   52        20        1         0         
  20    1.215499e-14   2.829224e-02   1.804987e-13   1.000000e+00   54        21        1         0         
  21    9.555638e-15   3.474825e-02   5.774143e-13   1.000000e+00   56        22        1         0         
  22    8.641632e-15   4.726307e-02   3.861445e-13   4.271231e-01   59        23        2         0         
  23    7.110201e-15   2.454058e-02   4.075253e-13   1.000000e+00   61        24        1         0         
  24    6.083244e-15   1.603142e-02   3.817847e-13   1.000000e+00   63        25        1         0         
  25    5.434254e-15   1.833697e-02   2.347529e-13   1.000000e+00   65        26        1         0         
  26    4.969791e-15   2.963695e-02   3.157448e-13   1.000000e+00   67        27        1         0         
  27    4.369682e-15   1.381810e-02   9.563140e-14   1.000000e+00   69        28        1         0         
  28    3.970835e-15   1.378167e-02   1.112994e-13   1.000000e+00   71        29        1         0         
  29    3.484905e-15   1.589739e-02   2.076652e-13   1.000000e+00   73        30        1         0         
  30    3.180669e-15   3.036565e-02   3.889558e-13   1.000000e+00   75        31        1         0         
  31    2.687138e-15   1.062113e-02   1.915804e-13   1.000000e+00   77        32        1         0         
  32    2.508393e-15   8.073203e-03   7.345404e-14   1.000000e+00   79        33        1         0         
  33    2.301490e-15   1.032517e-02   1.185608e-13   1.000000e+00   81        34        1         0         
  34    2.058959e-15   1.898526e-02   2.455092e-13   1.000000e+00   83        35        1         0         
  35    1.736868e-15   1.128521e-02   2.230068e-13   1.000000e+00   85        36        1         0         
  36    1.491780e-15   8.407871e-03   1.837987e-13   1.000000e+00   87        37        1         0         
  37    1.356753e-15   1.064724e-02   1.873936e-13   1.000000e+00   89        38        1         0         
  38    1.235551e-15   8.277192e-03   6.954073e-14   1.000000e+00   91        39        1         0         
  39    1.051604e-15   8.081228e-03   1.280770e-13   1.000000e+00   93        40        1         0         
  40    9.034122e-16   9.941384e-03   1.899497e-13   1.000000e+00   95        41        1         0         
  41    8.131728e-16   1.229829e-02   2.449748e-13   1.000000e+00   97        42        1         0         
  42    7.145205e-16   5.758159e-03   2.791637e-14   1.000000e+00   99        43        1         0         
  43    6.474979e-16   5.327517e-03   4.965141e-14   1.000000e+00   101       44        1         0         
  44    5.845842e-16   6.417287e-03   7.886972e-14   1.000000e+00   103       45        1         0         
  45    5.076803e-16   9.693596e-03   1.707693e-13   1.000000e+00   105       46        1         0         
  46    4.572949e-16   8.750372e-03   1.683165e-13   1.000000e+00   107       47        1         0         
  47    3.989548e-16   4.026953e-03   3.152019e-14   1.000000e+00   109       48        1         0         
  48    3.588049e-16   3.953869e-03   3.951725e-14   1.000000e+00   111       49        1         0         
  49    3.278914e-16   4.165842e-03   5.184357e-14   1.000000e+00   113       50        1         0         
  50    3.242838e-16   1.230589e-02   1.569280e-13   1.000000e+00   115       51        1         0         
  51    2.551785e-16   3.211222e-03   5.212007e-14   1.000000e+00   117       52        1         0         
  52    2.402687e-16   2.566957e-03   1.526778e-14   1.000000e+00   119       53        1         0         
  53    2.132886e-16   3.619503e-03   7.943043e-14   1.000000e+00   121       54        1         0         
  54    1.924401e-16   5.505383e-03   5.778244e-14   1.000000e+00   123       55        1         0         
  55    1.665088e-16   2.994421e-03   5.314464e-14   1.000000e+00   125       56        1         0         
  56    1.471849e-16   2.488739e-03   6.450752e-14   1.000000e+00   127       57        1         0         
