p= 0 | CubeHexMesh: Building sub cells
[MetricOpStats] ParamMass_M  (rows=9512)
  row_sum       min=2.0202e-07  max=0.00396  mean=0.00131916  max/|min|=19602
  |row_sum|     min=2.0202e-07  max=0.00396  mean=0.00131916  max/min=19602
  diag          min=8.97868e-08  max=0.00176  mean=0.000586293  nonpos=0
  max_abs_entry=0.00176
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=2.58765e-16 e[2]=0 e[3]=0 e[4]=0 e[5]=4.50316e-17 e[6]=9.11477e-17 e[7]=0 e[8]=0 e[9]=1.1087e-16 e[10]=2.22045e-16 e[11]=0 e[12]=0
MrHyDE vector contract check: max_primal_err=0 max_dual_err=2.58765e-16 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.240540e-11   8.950430e-01   ---            ---            1         1         ---       ---       
  1     1.078180e-11   9.250281e-01   8.950430e-11   1.000000e-10   13        2         11        0         
  2     6.500880e-13   4.270155e-01   4.124380e-11   1.000000e+00   15        3         1         0         
  3     5.473491e-13   3.331517e-01   1.946012e-12   1.089395e-01   18        4         2         0         
  4     4.711450e-13   1.096914e-01   7.573842e-13   1.000000e+00   20        5         1         0         
  5     4.428006e-13   1.014108e-01   6.358496e-13   1.000000e+00   22        6         1         0         
  6     3.648005e-13   1.839648e-01   2.670296e-12   1.000000e+00   24        7         1         0         
  7     2.871292e-13   2.002314e-01   3.354835e-12   1.000000e+00   26        8         1         0         
  8     2.303868e-13   2.333384e-01   3.959758e-12   4.962545e-01   29        9         2         0         
  9     1.656587e-13   1.499317e-01   3.720872e-12   1.000000e+00   31        10        1         0         
  10    1.338157e-13   7.331757e-02   9.227377e-13   1.000000e+00   33        11        1         0         
  11    1.148655e-13   9.545424e-02   1.140553e-12   1.000000e+00   35        12        1         0         
  12    9.068263e-14   1.097018e-01   1.987594e-12   1.000000e+00   37        13        1         0         
  13    8.104208e-14   1.234529e-01   1.397053e-12   3.669235e-01   40        14        2         0         
  14    6.750722e-14   5.116599e-02   1.055972e-12   1.000000e+00   42        15        1         0         
  15    6.192297e-14   3.911573e-02   6.407353e-13   1.000000e+00   44        16        1         0         
  16    5.711726e-14   5.897071e-02   6.084173e-13   1.000000e+00   46        17        1         0         
  17    4.736299e-14   8.509553e-02   1.311154e-12   1.000000e+00   48        18        1         0         
  18    3.815855e-14   1.178715e-01   2.188258e-12   1.000000e+00   50        19        1         0         
  19    2.742767e-14   5.541802e-02   1.376570e-12   1.000000e+00   52        20        1         0         
  20    2.353029e-14   2.542596e-02   3.270273e-13   1.000000e+00   54        21        1         0         
  21    2.169356e-14   2.816565e-02   2.921873e-13   1.000000e+00   56        22        1         0         
  22    2.033883e-14   3.398966e-02   2.566801e-13   1.000000e+00   58        23        1         0         
  23    1.700350e-14   4.051791e-02   8.633648e-13   1.000000e+00   60        24        1         0         
  24    1.542569e-14   6.712661e-02   1.210532e-12   1.000000e+00   62        25        1         0         
  25    1.226112e-14   2.639659e-02   2.003212e-13   1.000000e+00   64        26        1         0         
  26    1.074096e-14   1.955533e-02   2.797997e-13   1.000000e+00   66        27        1         0         
  27    9.634355e-15   2.360600e-02   3.610711e-13   1.000000e+00   68        28        1         0         
  28    7.679974e-15   2.413625e-02   6.759393e-13   1.000000e+00   70        29        1         0         
  29    6.930068e-15   3.098090e-02   5.058165e-13   3.725905e-01   73        30        2         0         
  30    5.769240e-15   1.205944e-02   3.828764e-13   1.000000e+00   75        31        1         0         
  31    5.319971e-15   1.065685e-02   1.556089e-13   1.000000e+00   77        32        1         0         
  32    4.848919e-15   1.231066e-02   2.030708e-13   1.000000e+00   79        33        1         0         
  33    4.786119e-15   3.002709e-02   4.067291e-13   1.000000e+00   81        34        1         0         
  34    4.126550e-15   1.009638e-02   7.206756e-14   1.000000e+00   83        35        1         0         
  35    3.870098e-15   8.412065e-03   9.871903e-14   1.000000e+00   85        36        1         0         
  36    3.536201e-15   1.068264e-02   2.329811e-13   1.000000e+00   87        37        1         0         
  37    3.110392e-15   1.268282e-02   3.436525e-13   1.000000e+00   89        38        1         0         
  38    2.850804e-15   1.154749e-02   3.145206e-13   4.964229e-01   92        39        2         0         
  39    2.631453e-15   6.632523e-03   1.610318e-13   1.000000e+00   94        40        1         0         
  40    2.448233e-15   8.075907e-03   1.425838e-13   1.000000e+00   96        41        1         0         
  41    2.205174e-15   1.122627e-02   2.311899e-13   1.000000e+00   98        42        1         0         
  42    1.975391e-15   1.660330e-02   4.511390e-13   1.000000e+00   100       43        1         0         
  43    1.683338e-15   7.604901e-03   1.405004e-13   1.000000e+00   102       44        1         0         
  44    1.513244e-15   6.475815e-03   1.253361e-13   1.000000e+00   104       45        1         0         
  45    1.395672e-15   7.165749e-03   1.304242e-13   1.000000e+00   106       46        1         0         
  46    1.282135e-15   1.367743e-02   3.219464e-13   1.000000e+00   108       47        1         0         
  47    1.113411e-15   5.599663e-03   1.237770e-13   1.000000e+00   110       48        1         0         
  48    1.034841e-15   4.933982e-03   6.485873e-14   1.000000e+00   112       49        1         0         
  49    9.327593e-16   6.025504e-03   1.331921e-13   1.000000e+00   114       50        1         0         
  50    8.374651e-16   1.049077e-02   2.331160e-13   1.000000e+00   116       51        1         0         
  51    7.151969e-16   5.363531e-03   1.736848e-13   1.000000e+00   118       52        1         0         
  52    6.359305e-16   3.920115e-03   1.070891e-13   1.000000e+00   120       53        1         0         
  53    5.713804e-16   5.089922e-03   1.198669e-13   1.000000e+00   122       54        1         0         
  54    5.268264e-16   7.048385e-03   1.509189e-13   1.000000e+00   124       55        1         0         
  55    4.728702e-16   3.879651e-03   4.937976e-14   1.000000e+00   126       56        1         0         
  56    4.182381e-16   3.534683e-03   9.245276e-14   1.000000e+00   128       57        1         0         
  57    3.817549e-16   3.849925e-03   7.472060e-14   1.000000e+00   130       58        1         0         
  58    3.736257e-16   1.029905e-02   2.577329e-13   1.000000e+00   132       59        1         0         
  59    2.987717e-16   2.496521e-03   2.802739e-14   1.000000e+00   134       60        1         0         
  60    2.864142e-16   1.972478e-03   3.176057e-14   1.000000e+00   136       61        1         0         
  61    2.605950e-16   2.519440e-03   4.723878e-14   1.000000e+00   138       62        1         0         
  62    2.509366e-16   7.132311e-03   1.404334e-13   1.000000e+00   140       63        1         0         
  63    2.151248e-16   2.634824e-03   3.091801e-14   1.000000e+00   142       64        1         0         
  64    2.001817e-16   1.985057e-03   5.192605e-14   1.000000e+00   144       65        1         0         
  65    1.852521e-16   2.174329e-03   6.945763e-14   1.000000e+00   146       66        1         0         
  66    1.612326e-16   2.378326e-03   9.249887e-14   1.000000e+00   148       67        1         0         
  67    1.504389e-16   3.223713e-03   7.264186e-14   4.128299e-01   151       68        2         0         
  68    1.353152e-16   1.744366e-03   4.748326e-14   1.000000e+00   153       69        1         0         
  69    1.238841e-16   1.766841e-03   3.665375e-14   1.000000e+00   155       70        1         0         
  70    1.072899e-16   2.638889e-03   7.408450e-14   1.000000e+00   157       71        1         0         
  71    1.020912e-16   4.009304e-03   1.013083e-13   1.000000e+00   159       72        1         0         
  72    8.909238e-17   1.354440e-03   1.669391e-14   1.000000e+00   161       73        1         0         
  73    8.465232e-17   1.111359e-03   1.333014e-14   1.000000e+00   163       74        1         0         
  74    7.917735e-17   1.412038e-03   2.776167e-14   1.000000e+00   165       75        1         0         
  75    7.083321e-17   1.841713e-03   5.227449e-14   1.000000e+00   167       76        1         0         
  76    6.758297e-17   2.906178e-03   8.845457e-14   1.000000e+00   169       77        1         0         
  77    6.017376e-17   9.729596e-04   1.279579e-14   1.000000e+00   171       78        1         0         
  78    5.755845e-17   8.953850e-04   9.059167e-15   1.000000e+00   173       79        1         0         
  79    5.424487e-17   1.097083e-03   1.901008e-14   1.000000e+00   175       80        1         0         
  80    4.998226e-17   1.939506e-03   3.962278e-14   1.000000e+00   177       81        1         0         
  81    4.551190e-17   1.026675e-03   4.743875e-14   1.000000e+00   179       82        1         0         
  82    4.316637e-17   6.984851e-04   1.169067e-14   1.000000e+00   181       83        1         0         
  83    4.054585e-17   9.621416e-04   2.179442e-14   1.000000e+00   183       84        1         0         
  84    3.879717e-17   1.142653e-03   2.068425e-14   1.000000e+00   185       85        1         0         
  85    3.681085e-17   8.152870e-04   1.478625e-14   1.000000e+00   187       86        1         0         
  86    3.413604e-17   8.451848e-04   3.457158e-14   1.000000e+00   189       87        1         0         
  87    3.316159e-17   9.210432e-04   1.440881e-14   1.000000e+00   191       88        1         0         
  88    3.216420e-17   6.486821e-04   4.719527e-15   1.000000e+00   193       89        1         0         
  89    3.025930e-17   5.563387e-04   2.098861e-14   1.000000e+00   195       90        1         0         
  90    2.945269e-17   9.006077e-04   1.642921e-14   1.000000e+00   197       91        1         0         
  91    2.845294e-17   7.291364e-04   1.130607e-14   1.000000e+00   199       92        1         0         
  92    2.606101e-17   7.592176e-04   4.042293e-14   1.000000e+00   201       93        1         0         
  93    2.548856e-17   1.148406e-03   2.369424e-14   1.000000e+00   203       94        1         0         
  94    2.454350e-17   5.641355e-04   5.527834e-15   1.000000e+00   205       95        1         0         
  95    2.360732e-17   4.434207e-04   5.932390e-15   1.000000e+00   207       96        1         0         
  96    2.250818e-17   6.232815e-04   1.648207e-14   1.000000e+00   209       97        1         0         
  97    2.102048e-17   6.449609e-04   2.742078e-14   1.000000e+00   211       98        1         0         
  98    2.045549e-17   1.166437e-03   2.172310e-14   3.256525e-01   214       99        2         0         
  99    1.893078e-17   4.828548e-04   2.850963e-14   1.000000e+00   216       100       1         0         
  100   1.818091e-17   3.530109e-04   1.500425e-14   1.000000e+00   218       101       1         0         
  101   1.733939e-17   4.399551e-04   1.575065e-14   1.000000e+00   220       102       1         0         
  102   1.708091e-17   1.131275e-03   2.483674e-14   1.000000e+00   222       103       1         0         
  103   1.611912e-17   4.033696e-04   4.147817e-15   1.000000e+00   224       104       1         0         
  104   1.568665e-17   3.127270e-04   4.177953e-15   1.000000e+00   226       105       1         0         
  105   1.518774e-17   3.792844e-04   7.261215e-15   1.000000e+00   228       106       1         0         
  106   1.437404e-17   5.455160e-04   3.084105e-14   1.000000e+00   230       107       1         0         
  107   1.393703e-17   5.603335e-04   2.085786e-14   4.672484e-01   233       108       2         0         
  108   1.340466e-17   3.130568e-04   1.010066e-14   1.000000e+00   235       109       1         0         
  109   1.295256e-17   3.111651e-04   9.697437e-15   1.000000e+00   237       110       1         0         
  110   1.258800e-17   4.342068e-04   9.795342e-15   1.000000e+00   239       111       1         0         
  111   1.216644e-17   3.186434e-04   1.462687e-14   1.000000e+00   241       112       1         0         
  112   1.190133e-17   2.582320e-04   6.042615e-15   1.000000e+00   243       113       1         0         
  113   1.165643e-17   2.756758e-04   6.153259e-15   1.000000e+00   245       114       1         0         
  114   1.142408e-17   3.052906e-04   7.060066e-15   1.000000e+00   247       115       1         0         
  115   1.111614e-17   2.967083e-04   1.292720e-14   1.000000e+00   249       116       1         0         
  116   1.089622e-17   2.843892e-04   9.065775e-15   1.000000e+00   251       117       1         0         
  117   1.073815e-17   2.376179e-04   3.071543e-15   1.000000e+00   253       118       1         0         
  118   1.049162e-17   2.262960e-04   7.588720e-15   1.000000e+00   255       119       1         0         
  119   1.028976e-17   3.961500e-04   1.069543e-14   1.000000e+00   257       120       1         0         
  120   1.008237e-17   2.219354e-04   6.907658e-15   1.000000e+00   259       121       1         0         
  121   9.920083e-18   1.816206e-04   7.385202e-15   1.000000e+00   261       122       1         0         
  122   9.799355e-18   2.162573e-04   5.456366e-15   1.000000e+00   263       123       1         0         
  123   9.602491e-18   2.946671e-04   1.257716e-14   1.000000e+00   265       124       1         0         
  124   9.423069e-18   2.655104e-04   7.956261e-15   1.000000e+00   267       125       1         0         
  125   9.268754e-18   2.004261e-04   4.612630e-15   1.000000e+00   269       126       1         0         
  126   9.100271e-18   2.179519e-04   7.574910e-15   1.000000e+00   271       127       1         0         
  127   8.971935e-18   2.823921e-04   8.512862e-15   1.000000e+00   273       128       1         0         
  128   8.839411e-18   1.954532e-04   5.858779e-15   1.000000e+00   275       129       1         0         
  129   8.668602e-18   1.918635e-04   1.038126e-14   1.000000e+00   277       130       1         0         
  130   8.539486e-18   2.523713e-04   8.243682e-15   1.000000e+00   279       131       1         0         
  131   8.364180e-18   2.152224e-04   9.875432e-15   1.000000e+00   281       132       1         0         
  132   8.201423e-18   3.859413e-04   1.529091e-14   1.000000e+00   283       133       1         0         
  133   8.028069e-18   1.971610e-04   5.181626e-15   1.000000e+00   285       134       1         0         
  134   7.919497e-18   1.874458e-04   2.767623e-15   1.000000e+00   287       135       1         0         
  135   7.738793e-18   2.281360e-04   9.457390e-15   1.000000e+00   289       136       1         0         
  136   7.699808e-18   5.873249e-04   1.980871e-14   1.000000e+00   291       137       1         0         
  137   7.462568e-18   2.124696e-04   1.403351e-15   1.000000e+00   293       138       1         0         
  138   7.349970e-18   1.565895e-04   5.234498e-15   1.000000e+00   295       139       1         0         
  139   7.201408e-18   2.013021e-04   1.137670e-14   1.000000e+00   297       140       1         0         
  140   7.026985e-18   2.154407e-04   1.273763e-14   1.000000e+00   299       141       1         0         
  141   6.925422e-18   3.363752e-04   1.364218e-14   4.190249e-01   302       142       2         0         
  142   6.770825e-18   1.585147e-04   9.275979e-15   1.000000e+00   304       143       1         0         
  143   6.673674e-18   1.614903e-04   4.906885e-15   1.000000e+00   306       144       1         0         
