p= 0 | CubeHexMesh: Building sub cells
[MetricOpStats] ParamMass_M  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] ParamStiffness_K  (rows=14264)
  row_sum       min=-1.04308e-07  max=8.9407e-08  mean=1.3353e-08  max/|min|=0.857143
  |row_sum|     min=2.37605e+08  max=7.92e+08  mean=5.80481e+08  max/min=3.33326
  diag          min=3.96018e+07  max=1.584e+08  mean=1.05543e+08  nonpos=0
  max_abs_entry=1.584e+08
[MetricOpStats] ParamMass_M_reprint  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] K_over_M
  |row_sum| ratio  max=1.33333e+11  mean=2.9331e+11
[RieszAutoScale] mean(diag(K))/mean(diag(M)) = 1.19992e+11
[RieszMap] alpha1=1  alpha2=1  mode=user_override
[MetricOpStats] Hcurl_H  (rows=14264  alpha1=1  alpha2=1  solver=sparse_direct)
  row_sum       min=1.36225e-07  max=0.00594011  mean=0.00197908  max/|min|=43605.3
  |row_sum|     min=2.37605e+08  max=7.92e+08  mean=5.80481e+08  max/min=3.33326
  diag          min=3.96018e+07  max=1.584e+08  mean=1.05543e+08  nonpos=0
  max_abs_entry=1.584e+08
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=2.5651e-14 e[2]=0 e[3]=0 e[4]=0 e[5]=3.12799e-15 e[6]=6.95314e-15 e[7]=0 e[8]=0 e[9]=8.47033e-22 e[10]=0 e[11]=1.01301e-10 e[12]=5.79148e-13
MrHyDE vector contract check: max_primal_err=0 max_dual_err=1.01301e-10 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.242036e-11   5.157530e-04   ---            ---            1         1         ---       ---       
  1     8.599167e-12   6.235949e-04   1.635038e-07   3.170196e-04   7         2         5         0         
  2     2.356733e-12   2.559080e-04   5.689154e-08   1.000000e+00   9         3         1         0         
  3     6.749330e-13   9.067481e-05   2.720363e-08   1.000000e+00   11        4         1         0         
  4     2.920799e-13   4.294361e-05   1.188538e-08   1.000000e+00   13        5         1         0         
  5     1.378668e-13   2.564475e-05   1.175706e-08   1.000000e+00   15        6         1         0         
  6     7.055819e-14   2.113272e-05   1.044619e-08   1.000000e+00   17        7         1         0         
  7     2.905734e-14   1.605048e-05   1.193188e-08   1.000000e+00   19        8         1         0         
  8     2.145507e-14   1.531917e-05   9.336313e-09   1.000000e+00   21        9         1         0         
  9     9.321325e-15   5.946394e-06   3.469444e-09   1.000000e+00   23        10        1         0         
  10    5.903255e-15   3.975605e-06   2.321792e-09   1.000000e+00   25        11        1         0         
  11    3.189535e-15   3.751265e-06   3.622260e-09   1.000000e+00   27        12        1         0         
  12    2.078434e-15   3.179132e-06   2.297304e-09   4.956010e-01   30        13        2         0         
  13    1.351538e-15   1.588189e-06   1.724305e-09   1.000000e+00   32        14        1         0         
  14    1.017444e-15   1.200891e-06   1.061359e-09   1.000000e+00   34        15        1         0         
  15    8.139588e-16   1.339710e-06   1.148221e-09   1.000000e+00   36        16        1         0         
  16    6.981202e-16   1.338578e-06   1.009288e-09   1.000000e+00   38        17        1         0         
  17    5.880059e-16   7.729356e-07   4.423916e-10   1.000000e+00   40        18        1         0         
  18    4.983322e-16   6.425165e-07   5.410257e-10   1.000000e+00   42        19        1         0         
  19    4.293640e-16   8.241277e-07   8.299217e-10   1.000000e+00   44        20        1         0         
  20    3.604630e-16   2.120233e-06   1.382698e-09   1.000000e+00   46        21        1         0         
  21    3.386802e-16   6.006496e-07   1.855281e-10   1.000000e+00   48        22        1         0         
  22    3.165585e-16   4.692038e-07   3.142082e-10   1.000000e+00   50        23        1         0         
  23    2.826897e-16   6.252391e-07   5.631833e-10   1.000000e+00   52        24        1         0         
  24    2.331226e-16   7.962851e-07   1.027069e-09   1.000000e+00   54        25        1         0         
  25    2.233298e-16   1.182253e-06   4.893177e-10   3.070314e-01   57        26        2         0         
  26    1.852263e-16   5.618104e-07   4.432745e-10   1.000000e+00   59        27        1         0         
  27    1.630596e-16   3.892956e-07   3.619642e-10   1.000000e+00   61        28        1         0         
  28    1.437777e-16   4.403119e-07   3.337905e-10   1.000000e+00   63        29        1         0         
  29    1.222563e-16   5.248257e-07   7.748113e-10   1.000000e+00   65        30        1         0         
  30    1.199095e-16   6.197695e-07   5.543906e-10   3.554728e-01   68        31        2         0         
  31    1.127729e-16   3.093451e-07   4.334035e-10   1.000000e+00   70        32        1         0         
  32    1.071395e-16   3.407862e-07   2.602145e-10   1.000000e+00   72        33        1         0         
