p=0 | CubeHexMesh: Building sub cells
[MetricOpStats] ParamMass_M  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
[MetricOpStats] ParamStiffness_K  (rows=4760)
  row_sum       min=-2.98023e-08  max=3.72529e-08  mean=-3.56199e-10  max/|min|=1.25
  |row_sum|     min=7.92162e+07  max=2.64e+08  mean=1.93296e+08  max/min=3.33265
  diag          min=1.32054e+07  max=5.28e+07  mean=3.5148e+07  nonpos=0
  max_abs_entry=5.28e+07
[MetricOpStats] ParamMass_M_reprint  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
[MetricOpStats] K_over_M
  |row_sum| ratio  max=1.33333e+11  mean=2.93127e+11
[RieszAutoScale] mean(diag(K))/mean(diag(M)) = 1.19927e+11
[RieszMap] alpha1=1  alpha2=1  mode=user_override
[MetricOpStats] Hcurl_H  (rows=4760  alpha1=1  alpha2=1  scale=1  solver=sparse_direct)
  row_sum       min=3.98606e-07  max=0.00198004  mean=0.000659427  max/|min|=4967.4
  |row_sum|     min=7.92162e+07  max=2.64e+08  mean=1.93296e+08  max/min=3.33265
  diag          min=1.32054e+07  max=5.28e+07  mean=3.5148e+07  nonpos=0
  max_abs_entry=5.28e+07
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=9.51301e-14 e[2]=0 e[3]=0 e[4]=0 e[5]=1.13161e-14 e[6]=2.49641e-14 e[7]=0 e[8]=0 e[9]=4.23516e-21 e[10]=3.33067e-16 e[11]=3.09769e-11 e[12]=4.77955e-13
MrHyDE vector contract check: max_primal_err=0 max_dual_err=3.09769e-11 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.230816e-11   1.919250e-03   ---            ---            1         1         ---       ---       
  1     7.563897e-12   1.564101e-03   1.337242e-07   6.967523e-05   8         2         6         0         
  2     3.686542e-13   2.054353e-04   5.661525e-08   1.000000e+00   10        3         1         0         
  3     2.828764e-13   2.724196e-04   7.747081e-09   1.000000e+00   12        4         1         0         
  4     1.543669e-13   1.482554e-04   4.159124e-09   1.000000e+00   14        5         1         0         
  5     6.622839e-14   6.641708e-05   9.391390e-09   1.000000e+00   16        6         1         0         
  6     4.403701e-14   5.360418e-05   3.171895e-09   1.000000e+00   18        7         1         0         
  7     1.547345e-14   3.838532e-05   9.060603e-09   1.000000e+00   20        8         1         0         
  8     1.111130e-14   3.429659e-05   2.500351e-09   4.676437e-01   23        9         2         0         
  9     7.337512e-15   2.236252e-05   1.329718e-09   1.000000e+00   25        10        1         0         
  10    3.764890e-15   1.522193e-05   2.934730e-09   1.000000e+00   27        11        1         0         
  11    2.533378e-15   1.246463e-05   1.748066e-09   1.000000e+00   29        12        1         0         
  12    1.956090e-15   1.315546e-05   1.662076e-09   4.861488e-01   32        13        2         0         
  13    1.263505e-15   6.350751e-06   1.532735e-09   1.000000e+00   34        14        1         0         
  14    1.089063e-15   4.904236e-06   4.673877e-10   1.000000e+00   36        15        1         0         
  15    8.675829e-16   3.382490e-06   1.028289e-09   1.000000e+00   38        16        1         0         
  16    7.349995e-16   3.750495e-06   8.796282e-10   1.000000e+00   40        17        1         0         
  17    5.905482e-16   3.123378e-06   9.489849e-10   1.000000e+00   42        18        1         0         
  18    5.617660e-16   4.457467e-06   1.835709e-09   1.000000e+00   44        19        1         0         
  19    5.339490e-16   1.262376e-05   1.472108e-09   1.000000e+00   46        20        1         0         
  20    4.386205e-16   4.423390e-06   4.665067e-10   1.000000e+00   48        21        1         0         
  21    3.638597e-16   2.579832e-06   8.331454e-10   1.000000e+00   50        22        1         0         
  22    3.193726e-16   2.339900e-06   3.699893e-10   1.000000e+00   52        23        1         0         
  23    2.571513e-16   3.225689e-06   1.321501e-09   1.000000e+00   54        24        1         0         
  24    2.310646e-16   2.995226e-06   6.496148e-10   4.987749e-01   57        25        2         0         
  25    2.148959e-16   3.634912e-06   9.324404e-10   1.000000e+00   59        26        1         0         
  26    2.065114e-16   2.985320e-06   2.464441e-10   4.702266e-01   62        27        2         0         
  27    1.976882e-16   2.989417e-06   4.134775e-10   1.000000e+00   64        28        1         0         
  28    1.932979e-16   3.757552e-06   6.758391e-10   1.000000e+00   66        29        1         0         
  29    1.837495e-16   2.308154e-06   2.097570e-10   4.914791e-01   69        30        2         0         
  30    1.633417e-16   2.289271e-06   3.139069e-10   1.000000e+00   71        31        1         0         
  31    1.453622e-16   2.242572e-06   5.447429e-10   1.000000e+00   73        32        1         0         
  32    1.352650e-16   2.040794e-06   6.027293e-10   1.000000e+00   75        33        1         0         
