p=0 | CubeHexMesh: Building sub cells
[MetricOpStats] ParamMass_M  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=7.08644e-16 e[2]=0 e[3]=0 e[4]=0 e[5]=1.25089e-16 e[6]=2.39689e-16 e[7]=0 e[8]=0 e[9]=6.0082e-16 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check: max_primal_err=0 max_dual_err=7.08644e-16 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.230816e-11   2.431688e+00   ---            ---            1         1         ---       ---       
  1     1.205341e-12   5.573730e-01   2.686408e-11   1.104750e-11   15        2         13        0         
  2     4.575711e-13   3.300471e-01   6.506641e-12   1.000000e+00   17        3         1         0         
  3     3.408588e-13   5.431539e-01   3.157963e-12   4.184068e-01   20        4         2         0         
  4     1.998546e-13   2.202451e-01   2.537582e-12   1.000000e+00   22        5         1         0         
  5     1.539637e-13   1.658518e-01   1.032851e-12   1.000000e+00   24        6         1         0         
  6     8.944690e-14   2.090013e-01   2.983337e-12   1.000000e+00   26        7         1         0         
  7     8.375842e-14   3.120888e-01   1.817894e-12   1.000000e+00   28        8         1         0         
  8     5.376413e-14   1.077318e-01   5.385560e-13   1.000000e+00   30        9         1         0         
  9     4.503267e-14   7.021794e-02   3.637312e-13   1.000000e+00   32        10        1         0         
  10    3.554673e-14   8.626931e-02   8.034412e-13   1.000000e+00   34        11        1         0         
  11    2.450298e-14   8.321988e-02   1.045722e-12   1.000000e+00   36        12        1         0         
  12    2.110809e-14   1.204785e-01   8.624931e-13   3.997676e-01   39        13        2         0         
  13    1.458898e-14   4.069807e-02   6.197480e-13   1.000000e+00   41        14        1         0         
  14    1.286548e-14   3.530055e-02   2.378127e-13   1.000000e+00   43        15        1         0         
  15    1.021698e-14   4.315398e-02   4.998846e-13   1.000000e+00   45        16        1         0         
  16    8.049217e-15   6.694358e-02   7.362523e-13   1.000000e+00   47        17        1         0         
  17    5.854929e-15   3.429464e-02   6.567595e-13   1.000000e+00   49        18        1         0         
  18    4.979217e-15   1.997337e-02   1.226635e-13   1.000000e+00   51        19        1         0         
  19    4.237749e-15   2.272896e-02   2.001223e-13   1.000000e+00   53        20        1         0         
  20    3.653883e-15   3.139018e-02   2.992239e-13   1.000000e+00   55        21        1         0         
  21    2.885470e-15   2.219937e-02   3.693027e-13   1.000000e+00   57        22        1         0         
  22    2.347151e-15   2.274320e-02   3.668771e-13   1.000000e+00   59        23        1         0         
  23    1.997117e-15   2.207594e-02   2.875614e-13   1.000000e+00   61        24        1         0         
  24    1.713100e-15   1.667137e-02   7.758177e-14   1.000000e+00   63        25        1         0         
  25    1.258605e-15   1.379250e-02   2.574869e-13   1.000000e+00   65        26        1         0         
  26    1.171869e-15   2.471160e-02   2.655670e-13   1.000000e+00   67        27        1         0         
  27    9.613418e-16   1.171096e-02   6.823450e-14   1.000000e+00   69        28        1         0         
  28    8.258584e-16   8.592990e-03   1.309581e-13   1.000000e+00   71        29        1         0         
  29    7.259436e-16   1.002131e-02   1.225146e-13   1.000000e+00   73        30        1         0         
  30    5.294972e-16   1.003501e-02   2.201452e-13   1.000000e+00   75        31        1         0         
  31    4.916288e-16   1.832768e-02   1.389796e-13   3.649212e-01   78        32        2         0         
  32    3.354327e-16   7.053650e-03   1.668526e-13   1.000000e+00   80        33        1         0         
  33    2.862927e-16   4.485036e-03   5.699518e-14   1.000000e+00   82        34        1         0         
  34    2.445306e-16   5.878133e-03   7.471855e-14   1.000000e+00   84        35        1         0         
  35    2.092746e-16   6.193141e-03   7.367543e-14   1.000000e+00   86        36        1         0         
  36    1.739793e-16   4.389003e-03   6.121718e-14   1.000000e+00   88        37        1         0         
  37    1.454763e-16   6.104087e-03   9.865883e-14   1.000000e+00   90        38        1         0         
  38    1.259120e-16   3.806288e-03   4.031199e-14   1.000000e+00   92        39        1         0         
  39    1.158294e-16   2.835598e-03   1.381880e-14   1.000000e+00   94        40        1         0         
  40    9.532807e-17   3.474445e-03   6.708128e-14   1.000000e+00   96        41        1         0         
  41    8.989035e-17   5.323328e-03   6.366733e-14   1.000000e+00   98        42        1         0         
  42    8.055922e-17   2.493240e-03   9.022662e-15   1.000000e+00   100       43        1         0         
  43    7.356593e-17   1.656255e-03   2.082779e-14   1.000000e+00   102       44        1         0         
  44    6.791529e-17   2.110782e-03   3.079011e-14   1.000000e+00   104       45        1         0         
  45    5.854819e-17   2.083523e-03   4.474273e-14   1.000000e+00   106       46        1         0         
  46    5.499511e-17   3.984677e-03   3.458831e-14   4.139084e-01   109       47        2         0         
  47    4.659683e-17   1.505885e-03   3.673880e-14   1.000000e+00   111       48        1         0         
  48    4.360382e-17   1.017761e-03   1.614730e-14   1.000000e+00   113       49        1         0         
  49    4.065717e-17   1.342444e-03   2.284326e-14   1.000000e+00   115       50        1         0         
  50    3.867987e-17   2.351446e-03   2.903619e-14   1.000000e+00   117       51        1         0         
  51    3.602346e-17   1.082812e-03   8.342259e-15   1.000000e+00   119       52        1         0         
