p=0 | CubeHexMesh: Building sub cells
[MetricOpStats] ParamMass_M  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=7.08644e-16 e[2]=0 e[3]=0 e[4]=0 e[5]=1.25089e-16 e[6]=2.39689e-16 e[7]=0 e[8]=0 e[9]=6.0082e-16 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check: max_primal_err=0 max_dual_err=7.08644e-16 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.230816e-11   2.431688e+00   ---            ---            1         1         ---       ---       
  1     9.610178e-12   1.235103e+00   9.877059e-12   4.061811e-12   15        2         13        0         
  2     8.787131e-12   7.396189e-01   1.056107e-11   1.000000e+00   17        3         1         0         
  3     7.964382e-12   7.459445e-01   7.436376e-12   1.000000e+00   19        4         1         0         
  4     7.051327e-12   8.681777e-01   4.288753e-12   1.000000e+00   21        5         1         0         
  5     6.338433e-12   3.418031e-01   1.730249e-12   1.000000e+00   23        6         1         0         
  6     6.087680e-12   2.622730e-01   7.977238e-13   1.000000e+00   25        7         1         0         
  7     5.798209e-12   2.752142e-01   2.480696e-12   1.000000e+00   27        8         1         0         
  8     5.771034e-12   2.001453e-01   1.304517e-12   4.237339e-01   30        9         2         0         
  9     5.771024e-12   1.974311e-01   1.231902e-13   7.167947e-02   35        10        4         0         
  10    5.713493e-12   2.538269e-01   2.238948e-12   4.815821e-01   38        11        2         0         
  11    5.686091e-12   1.226542e-01   1.750445e-12   4.026744e-01   41        12        2         0         
  12    5.680457e-12   1.164313e-01   1.616316e-12   1.000000e+00   43        13        1         0         
  13    5.668047e-12   2.104010e-01   1.750030e-12   1.000000e+00   45        14        1         0         
  14    5.603851e-12   1.225618e-01   9.141051e-13   1.000000e+00   47        15        1         0         
  15    5.518895e-12   1.067128e-01   1.572632e-12   1.000000e+00   49        16        1         0         
  16    5.504734e-12   1.706623e-01   1.443008e-12   1.000000e+00   51        17        1         0         
  17    5.504476e-12   1.585605e-01   2.852852e-13   1.823308e-01   55        18        3         0         
  18    5.504476e-12   1.585605e-01   0.000000e+00   0.000000e+00   76        19        20        0         
Optimization Terminated with Status: Step Tolerance Met
exit_code=0
