p=0 | CubeHexMesh: Building sub cells
[MetricOpStats] ParamMass_M  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
[MetricOpStats] ParamStiffness_K  (rows=4760)
  row_sum       min=-2.98023e-08  max=3.72529e-08  mean=-3.56199e-10  max/|min|=1.25
  |row_sum|     min=7.92162e+07  max=2.64e+08  mean=1.93296e+08  max/min=3.33265
  diag          min=1.32054e+07  max=5.28e+07  mean=3.5148e+07  nonpos=0
  max_abs_entry=5.28e+07
[MetricOpStats] ParamMass_M_reprint  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
[MetricOpStats] K_over_M
  |row_sum| ratio  max=1.33333e+11  mean=2.93127e+11
[RieszAutoScale] mean(diag(K))/mean(diag(M)) = 1.19927e+11
[RieszMap] alpha1=1.19927e+11  alpha2=1  mode=auto_balanced
[MetricOpStats] Hcurl_H  (rows=4760  alpha1=1.19927e+11  alpha2=1  scale=1  solver=sparse_direct)
  row_sum       min=48455.2  max=2.37455e+08  mean=7.9083e+07  max/|min|=4900.5
  |row_sum|     min=7.92323e+07  max=3.95887e+08  mean=2.37206e+08  max/min=4.99653
  diag          min=1.32269e+07  max=1.58335e+08  mean=7.0296e+07  nonpos=0
  max_abs_entry=1.58335e+08
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=5.1089e-19 e[2]=0 e[3]=0 e[4]=0 e[5]=7.87625e-20 e[6]=1.56723e-19 e[7]=0 e[8]=0 e[9]=2.5411e-21 e[10]=4.44089e-16 e[11]=9.17834e-18 e[12]=2.13614e-15
MrHyDE vector contract check: max_primal_err=0 max_dual_err=2.13614e-15 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  0     1.230816e-11   1.219414e-03   ---            ---            1         1         ---       ---       
  1     1.089032e-12   2.979636e-04   5.962558e-08   4.889691e-05   8         2         6         0         
  2     3.430774e-13   1.151166e-04   1.089481e-08   1.000000e+00   10        3         1         0         
  3     1.230733e-13   5.869196e-05   8.748818e-09   1.000000e+00   12        4         1         0         
  4     4.611417e-14   3.227913e-05   6.375895e-09   1.000000e+00   14        5         1         0         
  5     1.938173e-14   2.923758e-05   5.858234e-09   1.000000e+00   16        6         1         0         
  6     1.106529e-14   2.088285e-05   3.400857e-09   1.000000e+00   18        7         1         0         
  7     6.728897e-15   1.001239e-05   1.030302e-09   1.000000e+00   20        8         1         0         
  8     4.043548e-15   6.893723e-06   1.375499e-09   1.000000e+00   22        9         1         0         
  9     2.232264e-15   6.327305e-06   1.686354e-09   1.000000e+00   24        10        1         0         
  10    1.669499e-15   8.366263e-06   1.126768e-09   4.671030e-01   27        11        2         0         
  11    1.091042e-15   3.057959e-06   7.341914e-10   1.000000e+00   29        12        1         0         
  12    8.911688e-16   2.179716e-06   3.798465e-10   1.000000e+00   31        13        1         0         
  13    7.160233e-16   1.980195e-06   5.125428e-10   1.000000e+00   33        14        1         0         
  14    6.674585e-16   4.316007e-06   7.106745e-10   1.000000e+00   35        15        1         0         
  15    5.288247e-16   1.541635e-06   2.037493e-10   1.000000e+00   37        16        1         0         
  16    4.729097e-16   1.299785e-06   2.363869e-10   1.000000e+00   39        17        1         0         
  17    4.050374e-16   1.651236e-06   4.873642e-10   1.000000e+00   41        18        1         0         
  18    3.140447e-16   1.735172e-06   7.528720e-10   1.000000e+00   43        19        1         0         
  19    2.837286e-16   2.436554e-06   5.840224e-10   4.241767e-01   46        20        2         0         
  20    2.274875e-16   9.657222e-07   2.606927e-10   1.000000e+00   48        21        1         0         
  21    2.013608e-16   9.926958e-07   2.128874e-10   1.000000e+00   50        22        1         0         
  22    1.697119e-16   1.165664e-06   3.365934e-10   1.000000e+00   52        23        1         0         
  23    1.320983e-16   1.334341e-06   5.834531e-10   1.000000e+00   54        24        1         0         
  24    1.180477e-16   9.538029e-07   3.866253e-10   4.597344e-01   57        25        2         0         
  25    1.058424e-16   5.001527e-07   9.134382e-11   1.000000e+00   59        26        1         0         
  26    9.814233e-17   6.234572e-07   1.326702e-10   1.000000e+00   61        27        1         0         
  27    9.090957e-17   7.204335e-07   1.679354e-10   1.000000e+00   63        28        1         0         
  28    8.442687e-17   9.685038e-07   2.520839e-10   4.870836e-01   66        29        2         0         
  29    7.238668e-17   5.233075e-07   3.806480e-10   1.000000e+00   68        30        1         0         
  30    6.546966e-17   4.593781e-07   1.957584e-10   1.000000e+00   70        31        1         0         
  31    5.942612e-17   7.526100e-07   3.578735e-10   1.000000e+00   72        32        1         0         
  32    5.436191e-17   6.158774e-07   1.491758e-10   1.000000e+00   74        33        1         0         
  33    4.910370e-17   4.912226e-07   1.345942e-10   1.000000e+00   76        34        1         0         
